"Levelized Cost Calculation - Biogas - Distributed, IPP Financing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Resource Cost, Performance, & Financing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Cost,,,Income Tax Assumptions,,,,,Periodic Replacement,,,,Outputs,,$/MWh,$/kW-yr,,check,= 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Size (MW),5.0,,Income Tax - Federal,,,0.35,,Replacement Frequency,,0.0,,Capital,,122.48223444320946,965.6499363502636,,122.45184511052663,-0.030389332682830172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Cost ($/kW),10004.580000000002,,Income Tax - State,,,0.07,,,,,,Interconnection Cost,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Cost ($),50022900.00000001,,Income Tax - Effective Tax Rate,,,0.39549999999999996,,Contract Year,,Repl. Cost,,Property Tax & Insurance,,9.143379386294212,72.08640308154358,,9.153379234282651,0.009999847988439114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial debt service reserve funding ($),0.0,,Tax Credit - Federal PTC ($/MWh),,,11.0,,0.0,,0.0,,ITC,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total System Cost ($),50022900.00000001,,Tax Credit - Federal PTC (Years),,,10.0,,0.0,,0.0,,Fixed O&M,,56.06291222729579,442.0000000000001,,56.06291222729581,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tax Credit - Federal PTC Escalator,,,0.02,,0.0,,0.0,,Periodic Replacement,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interconnection Cost ($/kW),0.0,,Tax Credit - Federal ITC (%),,,0.0,,0.0,,0.0,,Variable O&M,,0.0,,,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interconnection Cost ($),0.0,,Tax Credit - Federal ITC - % of Capital Cost Eligibile,,,0.0,,0.0,,0.0,,Fuel,,-50.0,,,-50.000000000000014,-50.000000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50022900.00000001,,Tax Depreciation Basis Reduction - % of ITC,,,0.5,,,,,,Carbon,,0.0,,,0.0,15.768008156186808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Performance Inputs,,,MACRS Term,,,10.0,,,,,,PTC,,-15.768008156186808,-124.3149763033768,,-15.784509695144664,-137.70502759575731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Factor (AC),0.9,,Bonus Depreciation,,,0,,,,,,Total,,121.92051790061265,1355.4213631284304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Output for Year 1 (kWh),39420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degradation Factor,0.0,,Financing,,,,,,,,,Equity Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Economic Life (=PPA Term),20.0,,Equity Share,,,0.2,,,,,,"Equity Share, Manually Specified",,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,% Financed w/ debt,,,0.8,,,,,,"Equity Share, Optimized for Min DSCR",,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ongoing Costs,,,Debt Interest rate,,,0.0617,,,,,,Equity Share (active),,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed O&M Costs ($/kW-yr),442.0,,Cost of Equity,,,0.22980939999999994,,,,,,NPV Equity Return Check,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed O&M Costs Escalator (%/yr),0.02,,Debt period in years,,,18.0,,,,,,DSCR,,,1.4035653874905631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Variable O&M Costs ($/MWh),0.0,,WACC,,,0.07579999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Variable O&M Costs Escalator (%/yr),0.02,,Interest Rate on DSRF,,,0.03085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Costs ($/MMbtu),-5.0,,PPA Escalation Rate,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Escalator (%/yr),0.02,,Variable Cost Pass Through,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heat Rate (Btu/kWh),10000.0,,Equity Amount,,,10004580.000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Allowance Price ($/ton),0.0,,Debt Amount,,,40018320.00000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Allowance Price Escalation (%/yr),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emission Rate by Fuel (lb/MMBtu) ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Property Tax (%),0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Insurance (%),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPP Pro Forma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Levelization of Cost by Category,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,,,Equity Optimizer,,,,,,,,,,,,,,,,
