Shed Demand Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Existing Shed DR Forecast,,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Max Annual Dispatch (MWh),,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Utility,,Loss Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PGE,,1.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCE,,1.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SDGE,,1.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: Shed DR refers to load that can be shed temporarily to relieve the system's peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baseline Shed DR 1-in-2 Peak Load Impact (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mid,,,Method,Last Year,Period,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,PG&E,,,Flat,2022.0,,,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2
,,SCE,,,Flat,2022.0,,,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4
,,SDGE,,,Flat,2022.0,,,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46
,,Total,,,,,,,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Low,,,Method,Last Year,Period,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,PG&E,,,Flat,2023.0,,,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
,,SCE,,,Flat,2023.0,,,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0
,,SDGE,,,Flat,2023.0,,,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
,,Total,,,,,,,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94,1032.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Active: Mid,,,,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,PG&E,,,,,,,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2,541.2
,,SCE,,,,,,,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4,1019.4
,,SDGE,,,,,,,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46,56.46
,,Total,,,,,,,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06,1617.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Impact at Generator Level (grossed up for losses),,,,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,PG&E,,,,,,,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964,593.6964
,,SCE,,,,,,,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002,1096.8744000000002
,,SDGE,,,,,,,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004,61.880160000000004
,,Total CAISO_Shed_DR_Existing,,,,,,,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001,1752.4509600000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Shed DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cost ($/kW-yr),,,,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_Shed_DR_Tranche1,,,,,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
,,CAISO_Shed_DR_Tranche2,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
