Load Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO EV Demand,CARB Scoping Plan - SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Building Electrification,CEC 2016 IEPR - Mid Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO Behind-the-Meter PV,CEC 2016 IEPR - Mid PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO EE,CEC 2016 IEPR - Mid AAEE + AB802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO TOU Impacts,High (MRW S4 x1.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T&D Losses,0.0733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAISO Sales Forecast Buildup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Baseline Consumption (GWh),,,Method,Last Year,Period,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CEC 2016 IEPR - Mid Demand,,,CAGR,2027.0,5.0,,231785.83937600002,235224.48361289862,236296.37675243555,237606.7353951265,239422.48621022704,240992.59433420884,242661.9338046808,245189.33730409917,247543.68605819813,249408.2728095331,251465.0844443085,253445.344484677,255408.1854772982,257502.50489004597,259613.99749477432,261742.80410979444,263889.06670811237,266052.9284268975,268234.5335770283,270434.027652717,272651.55734121246,274887.270532583,277141.3163295796,279413.84505757963,281705.0082746121,284014.9587814655,286343.8506318782,288691.8391428126,291059.0809048132,293445.73379245005,295851.9569748475,298277.9109262995,300723.7574369718,303189.659623692,305675.78194082784,308182.2901912552
,,Active:,,,,,,,231785.83937600002,235224.48361289862,236296.37675243555,237606.7353951265,239422.48621022704,240992.59433420884,242661.9338046808,245189.33730409917,247543.68605819813,249408.2728095331,251465.0844443085,253445.344484677,255408.1854772982,257502.50489004597,259613.99749477432,261742.80410979444,263889.06670811237,266052.9284268975,268234.5335770283,270434.027652717,272651.55734121246,274887.270532583,277141.3163295796,279413.84505757963,281705.0082746121,284014.9587814655,286343.8506318782,288691.8391428126,291059.0809048132,293445.73379245005,295851.9569748475,298277.9109262995,300723.7574369718,303189.659623692,305675.78194082784,308182.2901912552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electric Vehicles (GWh),,,Method,Last Year,Period,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CEC 2016 IEPR - Mid Demand,,,Linear,2027.0,5.0,,481.411344,689.297821555801,897.266838815477,1123.3660007736078,1423.6201574449692,1784.776663892986,2253.658043704455,2807.6969626069645,3454.9199795635573,4238.5488274816,4953.499033332368,5625.513877719859,6401.378398398828,7120.114685557201,7838.850972715573,8557.587259873946,9276.323547032318,9995.05983419069,10713.796121349062,11432.532408507434,12151.268695665805,12870.004982824177,13588.741269982549,14307.47755714092,15026.213844299293,15744.950131457665,16463.68641861604,17182.42270577441,17901.158992932782,18619.895280091154,19338.631567249526,20057.367854407898,20776.10414156627,21494.84042872464,22213.576715883013,22932.313003041385
,,CARB Scoping Plan - SP,,,Linear,2029.0,5.0,,215.0,316.0,448.0,716.0,1086.0,1455.0,1607.0,1997.0,2574.0,3296.0,4100.0,4931.0,5749.0,6621.0,7535.0,8483.0,9330.8,10178.599999999999,11026.399999999998,11874.199999999997,12721.999999999996,13569.799999999996,14417.599999999995,15265.399999999994,16113.199999999993,16960.999999999993,17808.799999999992,18656.59999999999,19504.39999999999,20352.19999999999,21199.99999999999,22047.79999999999,22895.599999999988,23743.399999999987,24591.199999999986,25438.999999999985
,,CARB Scoping Plan - Alt1,,,Linear,2030.0,5.0,,215.0,316.0,448.0,713.0,1078.0,1438.0,1583.0,1960.0,2516.0,3315.0,4184.0,5069.0,5871.0,6665.0,7742.0,9039.0,10010.0,10981.0,11952.0,12923.0,13894.0,14865.0,15836.0,16807.0,17778.0,18749.0,19720.0,20691.0,21662.0,22633.0,23604.0,24575.0,25546.0,26517.0,27488.0,28459.0
,,Active: CARB Scoping Plan - SP,,,,,,,215.0,316.0,448.0,716.0,1086.0,1455.0,1607.0,1997.0,2574.0,3296.0,4100.0,4931.0,5749.0,6621.0,7535.0,8483.0,9330.8,10178.599999999999,11026.399999999998,11874.199999999997,12721.999999999996,13569.799999999996,14417.599999999995,15265.399999999994,16113.199999999993,16960.999999999993,17808.799999999992,18656.59999999999,19504.39999999999,20352.19999999999,21199.99999999999,22047.79999999999,22895.599999999988,23743.399999999987,24591.199999999986,25438.999999999985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Building Electrification (GWh),,,Method,Last Year,Period,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CEC 2016 IEPR - Mid Demand,,,Linear,2027.0,5.0,,0.0,63.28904340264219,129.81191904219907,187.4116783678835,247.82771036930848,310.9704036952765,346.9228359634924,575.1406561001069,633.6330776807797,704.9638684974715,848.5880797760359,917.2299131972284,991.4241476098022,1074.6808459117412,1157.9375442136802,1241.1942425156192,1324.4509408175581,1407.7076391194971,1490.964337421436,1574.221035723375,1657.477734025314,1740.734432327253,1823.991130629192,1907.247828931131,1990.50452723307,2073.761225535009,2157.0179238369483,2240.2746221388875,2323.5313204408267,2406.788018742766,2490.044717044705,2573.3014153466443,2656.5581136485835,2739.8148119505227,2823.071510252462,2906.328208554401
,,CARB Scoping Plan - SP,,,Linear,2027.0,5.0,,0.0,63.28904340264219,129.81191904219907,187.4116783678835,247.82771036930848,310.9704036952765,346.9228359634924,575.1406561001069,633.6330776807797,704.9638684974715,848.5880797760359,917.2299131972284,991.4241476098022,1074.6808459117412,1157.9375442136802,1241.1942425156192,1324.4509408175581,1407.7076391194971,1490.964337421436,1574.221035723375,1657.477734025314,1740.734432327253,1823.991130629192,1907.247828931131,1990.50452723307,2073.761225535009,2157.0179238369483,2240.2746221388875,2323.5313204408267,2406.788018742766,2490.044717044705,2573.3014153466443,2656.5581136485835,2739.8148119505227,2823.071510252462,2906.328208554401
,,CARB Scoping Plan - Alt1,,,Linear,2030.0,5.0,,0.0,63.28904340264219,129.81191904219907,187.4116783678835,247.82771036930848,310.9704036952765,346.9228359634924,575.1406561001069,633.6330776807797,923.0614721971158,2104.20784012713,3873.9683763663406,6019.406067763425,8361.499437765055,10771.006200926706,13183.486244242853,15399.341925065997,17615.19760588914,19831.053286712286,22046.90896753543,24262.764648358574,26478.62032918172,28694.476010004862,30910.331690828007,33126.187371651155,35342.0430524743,37557.89873329744,39773.75441412059,41989.61009494373,44205.465775766876,46421.32145659002,48637.177137413164,50853.03281823631,53068.88849905945,55284.7441798826,57500.59986070574
,,Active: CEC 2016 IEPR - Mid Demand,,,,,,,0.0,63.28904340264219,129.81191904219907,187.4116783678835,247.82771036930848,310.9704036952765,346.9228359634924,575.1406561001069,633.6330776807797,704.9638684974715,848.5880797760359,917.2299131972284,991.4241476098022,1074.6808459117412,1157.9375442136802,1241.1942425156192,1324.4509408175581,1407.7076391194971,1490.964337421436,1574.221035723375,1657.477734025314,1740.734432327253,1823.991130629192,1907.247828931131,1990.50452723307,2073.761225535009,2157.0179238369483,2240.2746221388875,2323.5313204408267,2406.788018742766,2490.044717044705,2573.3014153466443,2656.5581136485835,2739.8148119505227,2823.071510252462,2906.328208554401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Behind-the-Meter PV (GWh),,,Method,Last Year,Period,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,No Addtl. BTM,,,Flat,2017.0,,,5512.834529999999,7974.545999999999,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001,9395.867900000001
,,CEC 2016 IEPR - Low PV,,,Linear,2027.0,5.0,,5512.834529999999,7964.9342,9230.711800000001,9740.5241,10140.317000000001,10466.6551,10780.5046,11162.661399999999,11603.432400000002,12095.4896,12661.699499999999,13296.8184,13953.015899999999,14511.0868,15069.1577,15627.2286,16185.299500000001,16743.3704,17301.4413,17859.512199999997,18417.583099999996,18975.653999999995,19533.724899999994,20091.795799999993,20649.86669999999,21207.93759999999,21766.00849999999,22324.079399999988,22882.150299999987,23440.221199999985,23998.292099999984,24556.362999999983,25114.43389999998,25672.50479999998,26230.57569999998,26788.64659999998
,,CEC 2016 IEPR - Mid PV,,,Linear,2027.0,5.0,,5512.834529999999,7974.545999999999,9395.867900000001,10225.779100000002,11043.4423,11877.5633,12833.5553,13983.1049,15311.4514,16796.1673,18426.6173,20190.592299999997,22005.323800000002,23609.767580000003,25214.211360000005,26818.655140000006,28423.098920000008,30027.54270000001,31631.98648000001,33236.43026000001,34840.87404000001,36445.31782000001,38049.76160000001,39654.205380000014,41258.649160000015,42863.09294000002,44467.53672000002,46071.98050000002,47676.42428000002,49280.86806000002,50885.311840000024,52489.755620000025,54094.19940000003,55698.64318000003,57303.08696000003,58907.53074000003
,,CEC 2016 IEPR - High PV,,,Linear,2027.0,5.0,,5512.834529999999,7979.5422,9471.458,10479.569300000001,11575.769900000001,12753.9877,14115.116799999998,15733.4828,17598.1993,19687.3233,21985.242899999997,24469.6322,27025.7309,29284.180519999998,31542.630139999997,33801.07976,36059.52938,38317.979,40576.42862,42834.87824,45093.32786,47351.77748,49610.2271,51868.676719999996,54127.126339999995,56385.575959999995,58644.025579999994,60902.47519999999,63160.92481999999,65419.37443999999,67677.82406,69936.27368,72194.7233,74453.17292,76711.62254,78970.07216
,,Active: CEC 2016 IEPR - Mid PV,,,,,,,5512.834529999999,7974.545999999999,9395.867900000001,10225.779100000002,11043.4423,11877.5633,12833.5553,13983.1049,15311.4514,16796.1673,18426.6173,20190.592299999997,22005.323800000002,23609.767580000003,25214.211360000005,26818.655140000006,28423.098920000008,30027.54270000001,31631.98648000001,33236.43026000001,34840.87404000001,36445.31782000001,38049.76160000001,39654.205380000014,41258.649160000015,42863.09294000002,44467.53672000002,46071.98050000002,47676.42428000002,49280.86806000002,50885.311840000024,52489.755620000025,54094.19940000003,55698.64318000003,57303.08696000003,58907.53074000003
,,Equivalent MW - using shape's capacity factor,,,,,,,3276.75778327334,4739.967349168974,5584.782765452084,6078.071285037982,6564.079751302646,7059.870521743518,7628.099843646827,8311.377308000316,9100.929344991873,9983.425337715727,10952.543800942669,12001.027803010036,13079.68081441764,14033.341515701106,14987.002216984572,15940.662918268037,16894.323619551502,17847.98432083497,18801.64502211843,19755.305723401896,20708.96642468536,21662.62712596883,22616.287827252294,23569.948528535762,24523.609229819223,25477.269931102688,26430.930632386153,27384.591333669618,28338.252034953086,29291.91273623655,30245.573437520015,31199.23413880348,32152.89484008695,33106.55554137041,34060.21624265388,35013.87694393734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Non-PV Self Generation (GWh),,,,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CEC 2016 IEPR - Mid Demand,,,Flat,2027.0,,,11789.416189999998,12811.397687541355,13166.928250351306,13516.178206565186,13609.598013432998,13700.450477561722,13782.547232777759,13856.729643643352,13920.175842126187,13974.36111925801,14020.362204960049,14058.015789316203,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728,14095.869390395728
