Load Shapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO TOU Impacts,High (MRW S4 x1.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forecasts by year (scalars for profiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Annual Net Energy for Loads by Region and Category (note: flexible part of the EV load is taken out and treated separately),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zone,Profile Assignment,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO,"Baseline (no BTM PV, EE, EV, and TOU)",237397.67258659765,240005.48821124126,240778.51354492744,241815.6438853581,243674.20761497147,245270.46925288351,246983.25949271937,249630.52515426333,252102.63323197578,254056.23361419563,256226.09500307377,258322.35750011957,260399.60730215008,262659.5829282942,264938.0901093974,267235.28080219997,269551.3082094709,271886.3267902253,274240.4922700255,276613.96165136644,279006.8932241467,281419.4465762245,283851.78260406165,286304.063523453,288776.45288034575,291269.11556174577,293782.2178067147,296315.92721745645,298870.41277049476,301445.84482794255,304042.3951488635,306660.23690072715,309299.5446709573,311960.4944785759,314643.2637859417,317348.03151058545
,,CAISO,EVHome,232.0060429480954,334.1750296751916,464.09841372612493,726.2760332362145,1078.148268047912,1413.0786662350276,1526.017049746412,1853.2642710693858,2333.1822596309485,2916.4994064961697,3539.4410273011767,4150.404661702817,4714.837595769936,5287.083198446099,5854.32178698608,6407.7910866515585,7048.192511060753,7688.593935469946,8328.995359879138,8969.396784288332,9609.798208697526,10250.19963310672,10890.601057515913,11531.002481925107,12171.403906334299,12811.805330743491,13452.206755152685,14092.60817956188,14733.009603971073,15373.411028380266,16013.81245278946,16654.213877198654,17294.615301607846,17935.01672601704,18575.41815042623,19215.819574835426
,,CAISO,EVHomeAndWork,0.0,6.8198985647998285,19.337433905255207,46.358044674651985,93.7520233085141,157.00874069278086,208.09323405632887,301.6941836624582,444.41566850113304,640.207186791842,884.8602568252942,1170.626955864897,1488.8960828747165,1857.623826481062,2276.680694939031,2746.196179993525,3020.653933311751,3295.111686629977,3569.569439948202,3844.027193266428,4118.484946584654,4392.94269990288,4667.400453221106,4941.858206539332,5216.315959857557,5490.773713175782,5765.231466494009,6039.689219812234,6314.14697313046,6588.604726448686,6863.062479766912,7137.520233085138,7411.977986403363,7686.435739721588,7960.893493039814,8235.35124635804
,,CAISO,BuildingElec,0.0,68.29507219449897,140.07976588129824,202.23554372276195,267.4303554217206,335.5675015595948,374.3636947917259,620.6330593504985,683.7521071336784,760.7250118673481,915.7095929384222,989.7808494628557,1069.843690093668,1159.685816242302,1249.5279423909358,1339.3700685395697,1429.2121946882035,1519.0543208368374,1608.8964469854711,1698.738573134105,1788.5806992827388,1878.4228254313728,1968.2649515800065,2058.1070777286404,2147.949203877274,2237.7913300259083,2327.6334561745425,2417.4755823231762,2507.3177084718104,2597.1598346204446,2687.001960769079,2776.8440869177125,2866.6862130663467,2956.528339214981,3046.370465363615,3136.212591512249
,,CAISO,EE2015,0.0,-1890.6030911815135,-3814.6676110074445,-6020.295335168108,-7234.713261032385,-8068.10389889544,-8677.602201488737,-8962.930356689503,-8959.595529661683,-8591.611715458532,-7921.789178635042,-6943.560690421078,-5651.220959227092,-4073.728317962004,-2189.9879982196403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO,EE2030,0.0,-135.04307794153667,-586.8719401549914,-1505.073833792027,-2630.8048221935946,-4034.0519494477194,-5785.068134325825,-7842.564062103315,-10239.53774818478,-12887.417573187797,-15843.578357270082,-19094.79189865796,-22604.883836908375,-26479.23406675303,-30659.831975074965,-35146.677561874174,-37443.53515045375,-39740.39273903331,-42037.250327612885,-44334.10791619246,-46630.96550477203,-48927.823093351595,-51224.68068193116,-53521.53827051074,-55818.39585909031,-58115.25344766988,-60412.111036249444,-62708.96862482902,-65005.826213408596,-67302.68380198817,-69599.54139056773,-71896.3989791473,-74193.25656772687,-76490.11415630643,-78786.97174488602,-81083.82933346559
,,NW,Total,237315.76001580758,239505.9552364478,241716.36384327093,243947.17238630573,246198.56913725717,248470.74410539647,250763.88905359668,253078.19751451712,255413.86480693627,257771.0880522367,260150.06619104045,262550.9999999999,264974.0921087414,267419.5470169674,269887.5711117148,272378.3726847738,274892.16195026634,277429.15106238774,279989.55413331155,282573.58725126,285181.4684987407,287813.4179709522,290469.65779435926,293150.41214543907,295855.90726960136,298586.3715002824,301342.03527821536,304123.13117087906,306929.8938921253,309762.56032198796,312621.3695266749,315506.5627787442,318418.3835774665,321357.0776693754,324322.89306900784,327316.0800798352
,,SW,Total,149278.64725993513,150899.97325144938,152538.9085797242,154195.6445010169,155870.37434883276,157563.29355648588,159274.59967990548,161004.49242068973,162753.1736494101,164520.84742916873,166307.72003941145,168113.99999999988,169939.89809554472,171785.62740000323,173651.4033015441,175537.4435276822,177443.96817068636,179371.19971326328,181319.36305452007,183288.685536209,185279.3969692573,187291.729660585,189325.91844021407,191382.20068867205,193460.81636469325,195562.00803322083,197686.02089371302,199833.1028087568,202003.5043329923,204197.4787423514,206415.28206361388,208657.17310428453,210923.41348279486,213214.26765903272,215530.00296520363,217870.88963702717
,,LDWP,Total,29635.0,29293.507033502614,28470.96126287717,28045.05824345448,27915.403877368582,27831.702111066683,27993.430381121783,28234.665801740994,28446.23119143501,28678.92174943226,28916.583321321807,29161.010108209914,29412.04960591054,29653.3536731914,29896.637461493625,30141.91721296086,30389.209302991498,30638.530241331937,30889.896673178813,31143.32538029026,31398.83328210629,31656.437436878397,31916.155042808376,32178.00343919652,32442.00010759923,32708.16267299612,32976.50890496671,33247.05671887672,33519.8241770742,33794.82949009536,34072.09101788037,34351.62727099909,34633.4569118869,34917.598756090614,35204.07177352469,35492.895089737634
