,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAISO Resources,64.0,,,CAISO Technologies,21.0,,,,,,,,37.0,,,,,Final Year,2030.0,,,,,,,,,,,,,,,Toggles,,,,,,,,,,,,,,,,,,,,,,,
,Resource,Technology,Unique Technology,,,Technology,,Candidate Resources,,id,Zones,, ,Model Day,Weight,Month,Hydro Year,,period,include?,count,final_year,beyond_final,discount_factor,Year1,Year2,weight1,weight2,,,,new weight,years_in_period,,Tx Limits,Balancing Area,Installed Portfolio Cases,Costs,DR,Banking,,Technology,Subtechnology,TechnologySubtechnology,RESOLVE Technology,,,BAA,Region,,Retirement of Gas Plants,,,Retirement of CHP Plants,,,,path
1.0,CAISO_CHP,CAISO_CHP,1.0,,1.0,CAISO_CHP,,CAISO_Advanced_CCGT,,1.0,CAISO,,1.0,1.0,14.24986658992131,1.0,2011.0,,2015.0,0.0,0.0,0.0,0.0,1.0,2015.0,2018.0,1.0,0.0,,1.0,2018.0,2.981328023451124,3.5,,Physical,CAISO,High_BTM,Mid,Mid,Optimize Banking,,Biogas,Distributed,BiogasDistributed,Biomass,,,0.0,Other,,No early retirement,,,No early retirement,,,,\\sf5filesrv5\energy\Procurement Resource Adequacy\G&T Planning\1-Generation\3-2016LTPP\IRP\IRP Modeling\RESOLVE Info\Draft model 2017-05-16\
2.0,CAISO_Nuclear,CAISO_Nuclear,2.0,,2.0,CAISO_Nuclear,,CAISO_Aero_CT,,2.0,NW,,2.0,2.0,5.907525577179691,1.0,2009.0,,2016.0,0.0,0.0,0.0,0.0,0.9523809523809523,2015.0,2018.0,0.6666666666666666,0.33333333333333337,,2.0,2022.0,2.8511938725553962,4.0,,Historical,WECC-wide,Out_of_State,High,Low,Use Banks First,,Biogas,,Biogas,Biomass,,,AESO,Other,,Retirement after 20 years,20.0,,Retirement after 20 years,20.0,,,
3.0,CAISO_CCGT1,CAISO_CCGT1,3.0,,3.0,CAISO_CCGT1,,CAISO_Reciprocating_Engine,,3.0,SW,,43.0,3.0,28.022152883878302,2.0,2011.0,,2017.0,0.0,0.0,0.0,0.0,0.9070294784580498,2015.0,2018.0,0.3333333333333333,0.6666666666666667,,3.0,2026.0,2.345684255062774,4.0,,,,,Low,,No Banking,,Biogas,Pipeline,BiogasPipeline,Other,,,APS,SW,,Retirement after 25 years,25.0,,Retirement after 25 years,25.0,,,
4.0,CAISO_CCGT2,CAISO_CCGT2,4.0,,4.0,CAISO_CCGT2,,CAISO_New_Pumped_Storage,,4.0,LDWP,,65.0,4.0,14.341145931672976,3.0,2011.0,,2018.0,1.0,1.0,0.0,0.0,0.863837598531476,2018.0,2022.0,1.0,0.0,,4.0,2030.0,7.258724347472506,22.5,,,,,,,,,Biomass,Large,BiomassLarge,Biomass,,,AVA,NW,,Retirement after 30 years,30.0,,Retirement after 30 years,30.0,,,
5.0,CAISO_Peaker1,CAISO_Peaker1,5.0,,5.0,CAISO_Peaker1,,CAISO_New_Flow_Battery,,5.0,IID,,79.0,5.0,6.699443570533156,3.0,2008.0,,2019.0,0.0,0.0,0.0,0.0,0.822702474791882,2018.0,2022.0,0.75,0.25,,,,0.0,0.0,,,,,,,,,Biomass,Distributed,BiomassDistributed,Biomass,,,BANC,BANC,,,,,,,,,
6.0,CAISO_Peaker2,CAISO_Peaker2,6.0,,6.0,CAISO_Peaker2,,CAISO_New_Li_Battery,,6.0,BANC,,92.0,6.0,0.4953115961140821,4.0,2011.0,,2020.0,0.0,0.0,0.0,0.0,0.783526166468459,2018.0,2022.0,0.5,0.5,,,,0.0,0.0,,,,,,,,,Biomass,,Biomass,Biomass,,,BPA,NW,,,,,,,,,
7.0,CAISO_Advanced_CCGT,CAISO_Advanced_CCGT,7.0,,7.0,CAISO_Advanced_CCGT,,Northern_California_Solar,,,,,98.0,7.0,2.197066741305921,4.0,2008.0,,2021.0,0.0,0.0,0.0,0.0,0.7462153966366276,2018.0,2022.0,0.25,0.75,,,,0.0,0.0,,,,,,,,,Geothermal,,Geothermal,Geothermal,,,CAISO,CAISO,,,,,,,,,
8.0,CAISO_Aero_CT,CAISO_Aero_CT,8.0,,8.0,CAISO_Aero_CT,,Solano_Solar,,,,,105.0,8.0,1.1331358835423615,4.0,2008.0,,2022.0,1.0,2.0,0.0,0.0,0.7106813301301215,2022.0,2026.0,1.0,0.0,,,,0.0,0.0,,,,,,,,,Hydro,Small,HydroSmall,Small_Hydro,,,IID,IID,,,,,,,,,
9.0,CAISO_Reciprocating_Engine,CAISO_Reciprocating_Engine,9.0,,9.0,CAISO_Reciprocating_Engine,,Central_Valley_North_Los_Banos_Solar,,,,,125.0,9.0,5.384401713813145,5.0,2009.0,,2023.0,0.0,0.0,0.0,0.0,0.6768393620286872,2022.0,2026.0,0.75,0.25,,,,0.0,0.0,,,,,,,,,Hydro,,Hydro,Small_Hydro,,,IPC,NW,,,,,,,,,
