Baseline Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: costs on this tab are not included in RESOLVE's optimization. They reflect additional electric sector costs that are additive to costs included in the RESOLVE objective function.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BTM PV,CEC 2016 IEPR - Mid PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Energy Efficiency,CEC 2016 IEPR - Mid AAEE + AB802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Existing DR,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Component,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,Baseline Non-Modeled Costs (SMM),,25615.319574133508,25993.75867555923,26344.107525176776,26644.31120066165,27056.70631548551,27412.68359465433,27705.860962697658,28004.536403257065,28308.816223034446,28618.808818318215,28934.62471640961,29256.376617873793,29584.179439632353,29918.1503589138,30258.4088580795,30605.07677034209,30958.278326394677,31318.140201968483,31684.791566337946,32058.36413179182,32438.992204089765,32826.812733924,33221.96536940617,33624.59250959974,34034.83935911895,34452.853983815556,34878.787367574936,35312.793470244054,35755.029286713456,36205.654907176606,36664.83357859004,37132.73176735814,37609.519223267314,38095.36904469399,38590.45774511254,39094.965320928415
,,Distribution,,11621.879613417812,11854.317205686166,12091.403549799888,12333.231620795887,12579.896253211804,12831.494178276042,13088.124061841561,13349.88654307839,13616.884273939959,13889.22195941876,14167.006398607135,14450.346526579277,14739.353457110863,15034.140526253079,15334.823336778143,15641.5198035137,15954.35019958398,16273.437203575659,16598.90594764717,16930.884066600112,17269.501747932118,17614.891782890758,17967.189618548575,18326.533410919543,18693.064079137934,19066.925360720696,19448.263867935108,19837.229145293808,20233.973728199686,20638.65320276368,21051.426266818955,21472.454792155328,21901.903887998444,22339.941965758408,22786.740805073576,23242.475621175043
,,Transmission,,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154,3610.6351753554154
,,Generation,,8729.958036336338,8875.959545493708,8989.222050997529,9047.597655486406,9213.328137894348,9317.707491998932,9354.25497647674,9391.16793579932,9428.45002471513,9466.104934520099,9504.136393423116,9542.548166915161,9581.34405814213,9620.527908281367,9660.103596921997,9700.075042449032,9740.44620243134,9781.221074013469,9822.403694311419,9863.99814081235,9906.00853177829,9948.439026653887,9991.293826478242,10034.57717430084,10078.293355601665,10122.4466987155,10167.04157526047,10212.08240057089,10257.573634134415,10303.519780033574,10349.925387391728,10396.795050823459,10444.13341088951,10491.945154556222,10540.2350156596,10589.007775374012
,,Demand Side Programs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
