Planning Reserve Margin Calculations - CAISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRM and Peak Load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRM,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,PRM Requirement (% of 1-in-2 Peak),0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
,,Coincident Peak. Excl. BTM PV (MW),47765.598604294246,47829.28974015624,47673.27762761501,46403.519864651695,46146.87156569002,45970.23964240574,45780.00153000743,45815.29640581302,45798.67230308215,45728.66449783009,45630.613745521456,45568.10893919037,45520.99044332084,45546.87921370308,45581.62110597809,45624.17438588105,45656.65126171933,45692.47863791081,45731.68685347504,45774.30549165439,45820.36366672666,45869.89021527622,45922.91382730218,45979.46313832459,46039.56679555154,46103.25350640046,46170.55207477002,46241.491428653404,46316.10064153041,46394.40894922317,46476.44576339924,46562.24068256676,46651.82350117246,46745.22421724979,46842.47303894913,46943.60039019845
,,"Annual Load, excl. BTM PV (MWh)",237629678.62954575,238389132.0425527,237000489.6072777,235158856.65157297,235141631.5311013,234967525.8350299,234522586.4666116,235493690.15921983,236257566.6576135,236787195.88677558,237693053.8813737,238486925.69152993,239308952.6547324,240302623.97554195,241360141.09281418,242473023.11576906,243496608.24740544,244539176.48814166,245600883.49741295,246681886.2110451,247782342.85172036,248902412.9395302,250042257.30261323,251202038.0878815,252381918.77183416,253582064.17145976,254802640.45522845,256043815.15417376,257305757.1730655,258588636.80167422,259892625.72612813,261217897.04036328,262564625.25766686,263932986.32231635,265323157.62131307,266735317.99621263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO Import Capability,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,OOS Import Capacity (MW),11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0,11310.0
,,Palo_Verde_1 (CAISO Share),-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667
,,Palo_Verde_2 (CAISO Share),-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667
,,Palo_Verde_3 (CAISO Share),-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667,-207.34866666666667
,,Hoover (CAISO Share),-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848,-796.848
,,Total Adjustment,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894,-1418.894
,,Effective Import Capacity (MW),9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106,9891.106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Qualifying Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,NQC (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_CHP,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Nuclear,0.9931554807829857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_CCGT1,0.9456566431526405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_CCGT2,0.9752481239409344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO_Peaker1,0.9800620212074188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
