RPS and GHG Assumptions - CAISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030 RPS,50% by 2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GHG Target,Very Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Banking,Specified Bank Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Count Storage Losses as RPS Curtailment?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Hydro Spill?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Require Overbuild?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Scheduled Curtailment?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewable Portfolio Standard Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RPS Policy,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,no RPS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50% by 2030,,0.23,0.25,0.27,0.29,0.31,0.33,0.35,0.37,0.38,0.4,0.42,0.43,0.45,0.47,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,55% by 2030,,0.23,0.25,0.27,0.29,0.31,0.33,0.35,0.37,0.4,0.42,0.44,0.46,0.48,0.51,0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
,,60% by 2030,,0.23,0.25,0.27,0.29,0.31,0.33,0.36,0.38,0.41,0.44,0.47,0.49,0.52,0.55,0.57,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,,80% by 2030,,0.23,0.25,0.27,0.29,0.31,0.33,0.38,0.42,0.47,0.52,0.57,0.61,0.66,0.71,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
,,100% by 2030,,0.23,0.25,0.27,0.29,0.31,0.33,0.4,0.46,0.53,0.6,0.67,0.73,0.8,0.87,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,Active: 50% by 2030,,0.23,0.25,0.27,0.29,0.31,0.33,0.35,0.37,0.38,0.4,0.42,0.43,0.45,0.47,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO Retail Sales (GWh/yr),,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,CAISO Retail Sales,,214699,212941,210232,207696,206862,205867,204499,204249,203628,202635,201844,200815,199762,199079,198454,197881,197254,196645,196053,195479,194923,194385,193866,193365,192883,192419,191975,191549,191143,190756,190389,190042,189714,189406,189119,188852
,,#NAME?,,6009,8277,8266,8264,8274,8282,8288,8308,8321,8330,8342,8348,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354,8354
,,#NAME?,,208690,204664,201966,199432,198588,197585,196211,195941,195307,194305,193502,192467,191408,190725,190100,189527,188900,188291,187699,187125,186569,186031,185512,185011,184529,184065,183621,183195,182789,182402,182035,181688,181360,181052,180765,180498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RPS Obligation (GWh/yr),,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,RPS Obligation,,48694,51166,54531,57835,61562,65203,68183,71518,74705,77722,80626,83402,86134,89005,91882,94764,94450,94145,93849,93562,93285,93016,92756,92506,92264,92033,91810,91598,91395,91201,91018,90844,90680,90526,90383,90249
