,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of Scenarios,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saved Scenarios,Default,Medium,Large,VeryLarge,Default_EE-High,Default_EE-Low,Default_BTM_PV-High,Default_BTM_PV-Low,Default_ZEV_Flex,Default_Bldg_Elect-High,Default_PV_Cost_High,Default_ST_Cost_High,Default_PV_Cost_Low,Default_ST_Cost_Low,Default_Early_Retirement,Default_CHP_Retirement,Default_High_DER,Default_High_Load,Default_Flex_Challenged,Default_OOS_Wind,Default_Long_Dur_Storage,Default_Geothermal,Medium_Bldg_Elect-High,Medium_PV_Cost_High,Medium_ST_Cost_High,Medium_PV_Cost_Low,Medium_ST_Cost_Low,Medium_Early_Retirement,Medium_CHP_Retirement,Medium_High_DER,Medium_High_Load,Medium_Flex_Challenged,Medium_OOS_Wind,Medium_Long_Dur_Storage,Medium_Geothermal,Large_Bldg_Elect-High,Large_PV_Cost_High,Large_ST_Cost_High,Large_PV_Cost_Low,Large_ST_Cost_Low,Large_Early_Retirement,Large_CHP_Retirement,Large_High_DER,Large_High_Load,Large_Flex_Challenged,Large_OOS_Wind,Large_Long_Dur_Storage,Large_Geothermal,VeryLarge_Bldg_Elect-High,VeryLarge_PV_Cost_High,VeryLarge_ST_Cost_High,VeryLarge_PV_Cost_Low,VeryLarge_ST_Cost_Low,VeryLarge_Early_Retirement,VeryLarge_CHP_Retirement,VeryLarge_High_DER,VeryLarge_High_Load,VeryLarge_Flex_Challenged,VeryLarge_OOS_Wind,VeryLarge_Long_Dur_Storage,VeryLarge_Geothermal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Load Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electric Vehicle Adoption,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - SP,CARB Scoping Plan - SP,CARB Scoping Plan - SP
,Building Electrification,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CARB Scoping Plan - Alt1,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand,CEC 2016 IEPR - Mid Demand
,Behind-the-meter PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Low PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Low PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Low PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Low PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Low PV,CEC 2016 IEPR - High PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV,CEC 2016 IEPR - Mid PV
,Energy Efficiency,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE (x2),CEC 2016 IEPR - Mid AAEE,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE (x2),CEC 2016 IEPR - Mid AAEE,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE (x2),CEC 2016 IEPR - Mid AAEE,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE (x2),CEC 2016 IEPR - Mid AAEE,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE (x2),CEC 2016 IEPR - Mid AAEE,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802,CEC 2016 IEPR - Mid AAEE + AB802
,Existing DR,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid
