type,resource,Base,Env_Base,NGO1,NGO1and2,DRECP_SJV,Minimum,RESOLVE_name,,,,,,,
Biomass,InState,0,0,0,0,0,0,InState_Biomass,,,,,,,
Geothermal,Greater_Imperial,1384,1384,1384,1384,1384,1384,Greater_Imperial_Geothermal,,,,,,,
Geothermal,Northern_California,424,424,424,424,424,424,Northern_California_Geothermal,,,,,,,
Solar,Central_Valley_North_Los_Banos,3988,3021,3901,2477,1264,1264,Central_Valley_North_Los_Banos_Solar,,,,,,,
Solar,Distributed,36605,36605,36605,36605,36605,36605,Distributed_Solar,,,,,,,
Solar,Greater_Carrizo,4572,3787,4540,2734,3805,2734,Greater_Carrizo_Solar,,,,,,,
Solar,Greater_Imperial,7461,4819,7366,4592,8807,3617,Greater_Imperial_Solar,,,,,,,
Solar,Mountain_Pass_El_Dorado,288,15,288,10,62,10,Mountain_Pass_El_Dorado_Solar,,,,,,,
Solar,Northern_California,29319,19572,28715,16192,19649,16192,Northern_California_Solar,,,,,,,
Solar,Riverside_East_Palm_Springs,4172,2289,4145,2198,14339,1420,Riverside_East_Palm_Springs_Solar,,,,,,,
Solar,Solano,4693,2170,4471,1483,2275,1483,Solano_Solar,,,,,,,
Solar,Southern_California_Desert,0,0,0,0,8533,0,Southern_California_Desert_Solar,,,,,,,
Solar,Tehachapi,4535,3493,4464,3446,1073,1073,Tehachapi_Solar,,,,,,,
Solar,Westlands,13147,11310,12661,9317,15750,7643,Westlands_Solar,,,,,,,
Wind,Central_Valley_North_Los_Banos,170,146,126,69,146,69,Central_Valley_North_Los_Banos_Wind,,,,,,,
Wind,Distributed,253,253,253,253,253,253,Distributed_Wind,,,,,,,
Wind,Greater_Carrizo,1276,1096,1267,908,1095,908,Greater_Carrizo_Wind,,,,,,,
Wind,Greater_Imperial,922,83,919,83,0,0,Greater_Imperial_Wind,,,,,,,
Wind,Kramer_Inyokern,1381,283,1314,283,0,0,Kramer_Inyokern_Wind,,,,,,,
Wind,Northern_California,0,0,0,0,0,0,Northern_California_Wind,,,,,,,
Wind,Riverside_East_Palm_Springs,544,42,527,42,42,42,Riverside_East_Palm_Springs_Wind,,,,,,,
Wind,Solano,1629,642,1520,567,643,567,Solano_Wind,,,,,,,
Wind,Southern_California_Desert,124,48,124,48,0,0,Southern_California_Desert_Wind,,,,,,,
Wind,Tehachapi,934,715,923,704,407,405,Tehachapi_Wind,,,,,,,
Geothermal,Pacific_Northwest,832,832,832,832,832,832,Pacific_Northwest_Geothermal,,,,,,,
Geothermal,Southern_Nevada,320,320,320,320,320,320,Southern_Nevada_Geothermal,,,,,,,
Solar,Arizona,19270,19270,19270,19270,19270,19270,Arizona_Solar,,,,,,,
Solar,New_Mexico,166,166,166,166,166,166,New_Mexico_Solar,,,,,,,
Solar,Southern_Nevada,37176,37176,37176,37176,37176,37176,Southern_Nevada_Solar,,,,,,,
Solar,Utah,14414,14414,14414,14414,14414,14414,Utah_Solar,,,,,,,
Wind,Arizona,2900,2900,2900,2900,2900,2900,Arizona_Wind,,,,,,,
Wind,Idaho,6869,6869,6869,6869,6869,6869,Idaho_Wind,,,,,,,
Wind,SW_Ext_Tx,500,500,500,500,500,500,SW_Ext_Tx_Wind,,,,,,,
Wind,New_Mexico,34580,34580,34580,34580,34580,34580,New_Mexico_Wind,,,,,,,
Wind,NW_Ext_Tx,1500,1500,1500,1500,1500,1500,NW_Ext_Tx_Wind,,,,,,,
Wind,Pacific_Northwest,11072,11072,11072,11072,11072,11072,Pacific_Northwest_Wind,,,,,,,
Wind,Southern_Nevada,442,442,442,442,442,442,Southern_Nevada_Wind,,,,,,,
Wind,Utah,5033,5033,5033,5033,5033,5033,Utah_Wind,,,,,,,
Wind,Wyoming,33862,33862,33862,33862,33862,33862,Wyoming_Wind,,,,,,,
Solar,Kramer_Inyokern,6875,6875,6875,6875,6875,6875,Kramer_Inyokern_Solar,,,,,,,
Solar,Baja_California,9927,9927,9927,9927,9927,9927,Baja_California_Solar,,,,,,,
Wind,Baja_California,1116,1116,1116,1116,1116,1116,Baja_California_Wind,,,,,,,
