project,fc_tech_per_kw_yr,fc_tech_per_kwh_yr
BANC_CCGT,Gas - CCGT,
BANC_Peaker,Gas - CT - Frame,
CAISO_Advanced_CCGT,Gas - CCGT,
CAISO_Aero_CT,Gas - CT - Aero,
CAISO_CCGT1,Gas - CCGT,
CAISO_CCGT1_Planned,Gas - CCGT,
CAISO_CCGT2,Gas - CCGT,
CAISO_CHP,,
CAISO_Nuclear,,
CAISO_Peaker1,Gas - CT - Frame,
CAISO_Peaker1_Planned,Gas - CT - Frame,
CAISO_Peaker2,Gas - CT - Frame,
CAISO_Peaker2_Planned,Gas - CT - Frame,
CAISO_Reciprocating_Engine,Gas - ICE,
CAISO_ST,,
IID_CCGT,Gas - CCGT,
IID_Peaker,Gas - CT - Frame,
LDWP_CCGT,Gas - CCGT,
LDWP_Coal,,
LDWP_Nuclear,,
LDWP_Peaker,Gas - CT - Frame,
NW_CCGT,Gas - CCGT,
NW_Coal,,
NW_Nuclear,,
NW_Peaker,Gas - CT - Frame,
SW_CCGT,Gas - CCGT,
SW_Coal,,
SW_Nuclear,,
SW_Peaker,Gas - CT - Frame,
CAISO_Hydro,,
NW_Hydro,,
SW_Hydro,,
LDWP_Hydro,,
IID_Hydro,,
BANC_Hydro,,
BANC_Small_Hydro_for_CAISO,Hydro - Small,
CAISO_Biomass_for_CAISO,Biomass - Large,
CAISO_Geothermal_for_CAISO,Geothermal,
CAISO_Small_Hydro_for_CAISO,Hydro - Small,
CAISO_Solar_for_CAISO,Solar PV - Tracking - 20MW+,
CAISO_Wind_for_CAISO,Wind,
IID_Geothermal_for_CAISO,Geothermal,
IID_Solar_for_CAISO,Solar PV - Tracking - 20MW+,
LDWP_Wind_for_CAISO,Wind,
NW_Biomass_for_CAISO,Biomass - Large,
NW_Geothermal_for_CAISO,Geothermal,
NW_Small_Hydro_for_CAISO,Hydro - Small,
NW_Wind_for_CAISO,Wind,
SW_Solar_for_CAISO,Solar PV - Tracking - 20MW+,
SW_Wind_for_CAISO,Wind,
BANC_Biomass_for_Other,Biomass - Large,
BANC_Geothermal_for_Other,Geothermal,
BANC_Small_Hydro_for_Other,Hydro - Small,
BANC_Solar_for_Other,Solar PV - Tracking - 20MW+,
BANC_Wind_for_Other,Wind,
CAISO_Biomass_for_Other,Biomass - Large,
CAISO_Geothermal_for_Other,Geothermal,
CAISO_Small_Hydro_for_Other,Hydro - Small,
CAISO_Solar_for_Other,Solar PV - Tracking - 20MW+,
CAISO_Wind_for_Other,Wind,
IID_Biomass_for_Other,Biomass - Large,
IID_Geothermal_for_Other,Geothermal,
IID_Small_Hydro_for_Other,Hydro - Small,
IID_Solar_for_Other,Solar PV - Tracking - 20MW+,
IID_Wind_for_Other,Wind,
LDWP_Biomass_for_Other,Biomass - Large,
LDWP_Geothermal_for_Other,Geothermal,
LDWP_Small_Hydro_for_Other,Hydro - Small,
LDWP_Solar_for_Other,Solar PV - Tracking - 20MW+,
LDWP_Wind_for_Other,Wind,
NW_Biomass_for_Other,Biomass - Large,
NW_Geothermal_for_Other,Geothermal,
NW_Small_Hydro_for_Other,Hydro - Small,
NW_Solar_for_Other,Solar PV - Tracking - 20MW+,
NW_Wind_for_Other,Wind,
SW_Biomass_for_Other,Biomass - Large,
SW_Geothermal_for_Other,Geothermal,
SW_Small_Hydro_for_Other,Hydro - Small,
SW_Solar_for_Other,Solar PV - Tracking - 20MW+,
SW_Wind_for_Other,Wind,
CAISO_Existing_Pumped_Storage,Pumped Storage [Capacity],Pumped Storage [Energy]
CAISO_Storage_Mandate,Battery - Li [Capacity],Battery - Li [Energy]
Customer_PV,Solar PV - Residential Rooftop,
