project,capacity_type
Agnews,existing_gen_no_economic_retirement
AguaMansa,existing_gen_linear_economic_retirement
Alameda,existing_gen_linear_economic_retirement
Alamitos,existing_gen_linear_economic_retirement
Anaheim,existing_gen_linear_economic_retirement
BadgerCreek,existing_gen_no_economic_retirement
Barre,existing_gen_linear_economic_retirement
BearMountain,existing_gen_no_economic_retirement
Blythe,existing_gen_linear_economic_retirement
Border,existing_gen_linear_economic_retirement
Enterprise,existing_gen_linear_economic_retirement
CalPeakPanoche,existing_gen_linear_economic_retirement
VacaDixon,existing_gen_linear_economic_retirement
Canyon,existing_gen_linear_economic_retirement
Carson,existing_gen_no_economic_retirement
Center,existing_gen_linear_economic_retirement
Century,existing_gen_linear_economic_retirement
ChalkCliff,existing_gen_no_economic_retirement
ChulaVista,existing_gen_linear_economic_retirement
Clearwater,existing_gen_linear_economic_retirement
Colusa,existing_gen_linear_economic_retirement
Creed,existing_gen_linear_economic_retirement
Cuyamaca,existing_gen_linear_economic_retirement
Delta,existing_gen_linear_economic_retirement
DesertStar,existing_gen_linear_economic_retirement
DonaldVonRaesfeld,existing_gen_linear_economic_retirement
HighSierra,existing_gen_no_economic_retirement
Drews,existing_gen_linear_economic_retirement
ElCajonGT,existing_gen_linear_economic_retirement
ElCajonEC,existing_gen_linear_economic_retirement
ElSegundo,existing_gen_linear_economic_retirement
ElkHills,existing_gen_linear_economic_retirement
Ellwood,existing_gen_linear_economic_retirement
Carlsbad,existing_gen_linear_economic_retirement
FeatherRiver,existing_gen_linear_economic_retirement
FresnoCogen,existing_gen_no_economic_retirement
FresnoPeaker,existing_gen_no_economic_retirement
Gateway,existing_gen_linear_economic_retirement
Gianera,existing_gen_linear_economic_retirement
GilroyCogen,existing_gen_no_economic_retirement
GilroyPeaker,existing_gen_linear_economic_retirement
GlenArm12,existing_gen_linear_economic_retirement
GlenArm34,existing_gen_linear_economic_retirement
GlenArm5,existing_gen_linear_economic_retirement
GooseHaven,existing_gen_linear_economic_retirement
Grapeland,existing_gen_linear_economic_retirement
Henrietta,existing_gen_linear_economic_retirement
HGonzalez,existing_gen_linear_economic_retirement
Hanford,existing_gen_linear_economic_retirement
Harbor,existing_gen_linear_economic_retirement
HighDesert,existing_gen_linear_economic_retirement
LongBeach,existing_gen_linear_economic_retirement
HuntingtonBeach,existing_gen_linear_economic_retirement
Indigo1,existing_gen_linear_economic_retirement
Indigo23,existing_gen_linear_economic_retirement
InlandEmpire,existing_gen_linear_economic_retirement
Kearny,existing_gen_linear_economic_retirement
KernRiver,existing_gen_no_economic_retirement
KingCity,existing_gen_linear_economic_retirement
LaPaloma,existing_gen_linear_economic_retirement
Lambie,existing_gen_linear_economic_retirement
Larkspur,existing_gen_linear_economic_retirement
LiveOak,existing_gen_no_economic_retirement
LodiCC,existing_gen_linear_economic_retirement
LodiPeaker,existing_gen_linear_economic_retirement
LosEsteros,existing_gen_linear_economic_retirement
LosMedanos,existing_gen_linear_economic_retirement
LaRosita1,existing_gen_linear_economic_retirement
LaRosita2,existing_gen_linear_economic_retirement
Malaga1,existing_gen_linear_economic_retirement
Malaga2,existing_gen_linear_economic_retirement
Malburg,existing_gen_linear_economic_retirement
Mandalay,existing_gen_linear_economic_retirement
Mariposa,existing_gen_linear_economic_retirement
MarshLanding,existing_gen_linear_economic_retirement
McGrath,existing_gen_linear_economic_retirement
McKittrick,existing_gen_no_economic_retirement
Metcalf,existing_gen_linear_economic_retirement
Midway,existing_gen_linear_economic_retirement
MidwaySunset,existing_gen_no_economic_retirement
MiraLoma,existing_gen_linear_economic_retirement
