plant,RESOLVE type,baseload_flag,minimum_input_mmbtu_per_hr,inc_heat_rate_mmbtu_mwh,min_stable_level,unit_size_mw,startup_cost_per_mw_committed,shutdown_cost_per_mw_committed,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,variable_cost_per_mwh,full_load_heat_rate,tech,nqc_fraction,fixed_cost,total_capacity,lca_zone,operational_type,capacity_type,onine_year,retirement_year,ramp_up_when_on_rate,ramp_down_when_on_rate
Agnews,CAISO_CCGT1,1,213.7290602,6.489,0.99,28,41.87395181,41.87395181,0.99,0.99,5.7,7.698070723,CHP,1,10,28,Bay_Area,must_run,existing_gen_no_economic_retirement,,,0.409638554,0.408433735
AguaMansa,CAISO_Peaker2,0,175.652,9.456,0.3,43,16.96160465,16.96160465,7.441860465,7.441860465,5,10.70413023,Peaker,1,6,43,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,7.441860465,7.441860465
Alameda,CAISO_Peaker2,0,127.8615325,9.375684895,0.45,24.6,16.96160039,16.96160039,6.299212598,6.299212598,5,10.35424996,Peaker,0.979674797,6,49.2,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.299212598,6.299212598
Alamitos,CAISO_CCGT1,0,1301.333333,6,0.2,640,25,25,0.598646338,0.598646338,5.7,6.833333333,CCGT,1,10,640,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,2020,,0.598646338,0.598646338
Anaheim,CAISO_Peaker2,0,264.922698,10.96359165,0.45,42.81,16.96159553,16.96159553,3.25203252,3.25203252,5,12.2183122,Peaker,0.949310909,6,42.81,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.25203252,3.25203252
BadgerCreek,CAISO_Peaker1,1,414.4528731,5.597,0.99,47.49,54.59515371,54.59515371,1.555153707,1.555153707,5,8.78313094,CHP,0.926510844,6,47.49,Kern,must_run,existing_gen_no_economic_retirement,,,1.555153707,1.555153707
Barre,CAISO_Peaker1,0,292.6817203,9.387230769,0.6,47,16.96160204,16.96160204,6.530612245,6.530612245,5,9.982162951,Peaker,1,6,47,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.530612245,6.530612245
BearMountain,CAISO_Peaker2,1,566.7935794,5.597,0.99,47.49,16.96160036,16.96160036,2.495479204,2.488245931,5,11.99097904,CHP,0.989682038,6,47.49,Kern,must_run,existing_gen_no_economic_retirement,,,2.495479204,2.488245931
Blythe,CAISO_CCGT2,0,2298.226783,5.71901351,0.58665619,493.63,44.66475238,44.66475238,0.891428571,0.891428571,5.7,7.019686882,CCGT,0.992646314,10,493.63,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.891428571,0.891428571
Border,CAISO_Peaker2,0,263.3885799,9.360297243,0.45,51.25,54.59514612,54.59514612,3.20256205,3.20256205,5,10.28745285,Peaker,0.936585366,6,51.25,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.20256205,3.20256205
