plant,bp1_intercept,bp1_slope,bp2_intercept,bp2_slope
Agnews,27.72,7.710283558,28,7.698070723
AguaMansa,12.9,13.61643411,43,10.70413023
Alameda,11.07,11.55027394,24.6,10.35424996
Alamitos,128,10.16666667,640,6.833333333
Anaheim,19.2645,13.75185953,42.81,12.2183122
BadgerCreek,47.0151,8.815314081,47.49,8.78313094
Barre,28.2,10.37878441,47,9.982162951
BearMountain,47.0151,12.05556469,47.49,11.99097904
Blythe,289.5910953,7.936109984,493.63,7.019686882
Border,23.0625,11.42064303,51.25,10.28745285
Enterprise,21.618,11.42963896,48.04,10.34774072
CalPeakPanoche,23.4045,11.50111507,52.01,10.30328199
VacaDixon,15.183,12.58555995,50.61,10.29718178
Canyon,22.23,13.33251522,49.4,8.936506133
Carson,47.52,7.710293115,48,7.698080184
Center,28.2,10.37878441,47,9.982162951
Century,4.6575,13.37235621,10.35,8.595064579
ChalkCliff,47.0151,12.10038681,47.49,12.03535294
ChulaVista,10.65,17.21909576,35.5,12.86174177
Clearwater,12.6,9.926938776,28,8.790122449
Colusa,367.7011532,7.268434408,641,6.928036538
Creed,21.6,11.54112089,48,10.35303867
Cuyamaca,13.626,17.63227717,45.42,9.571611152
Delta,576.5109869,7.221884284,880,6.87153219
DesertStar,300.9320824,7.253415,494.58,6.907063459
DonaldVonRaesfeld,81.29,8.486291286,147.8,7.724490207
HighSierra,25.95285,11.40118269,26.215,11.34314086
Drews,4.6575,13.37287672,10.35,8.59529881
ElCajonGT,7.8528,15.35466667,16.36,12.73924
ElCajonEC,21.645,11.70002227,48.1,10.36021002
ElSegundo,144.837,7.690041244,263.34,6.999812684
ElkHills,324.2419714,7.338409658,551.7,6.871533333
Ellwood,16.2,18.33882266,54,15.00496749
Carlsbad,150,17.63227717,500,9.571611152
FeatherRiver,20.835,13.33520317,46.3,8.913562855
FresnoCogen,27.83,9.271650795,50.6,8.439487937
FresnoPeaker,10.2105,11.39946134,22.69,10.4097576
Gateway,305.9155351,7.429743999,562.5,6.871532978
Gianera,11.1375,11.55832657,24.75,10.3547407
GilroyCogen,60.41538,6.909195276,120,6.389418686
GilroyPeaker,14.16,16.58802324,47.2,12.85751387
GlenArm12,6.6555,48.93623283,22.185,18.59876985
GlenArm34,13.0875,11.55498208,43.625,9.454065313
GlenArm5,19.5,18.60100227,65,9.673031714
GooseHaven,14.40000289,16.55302241,48,12.85669862
Grapeland,20.7,10.40001588,46,9.977981955
Henrietta,22.365,11.44426905,49.7,10.34771671
HGonzalez,1.725,8.370528126,5.75,7.867558438
Hanford,22.1535,11.55872657,49.23,10.35493085
Harbor,59.9555,8.508119324,109.01,7.744460628
HighDesert,460.432121,7.373232523,830,6.892864392
LongBeach,39,13.6027619,65,13.08285714
HuntingtonBeach,128.8,10.16666667,644,6.833333333
Indigo1,19.8,13.38675232,44,12.18846255
Indigo23,19.8495,26.40401869,44.11,16.1516627
InlandEmpire,222.9066191,7.013930238,371.26,6.489615624
Kearny,18.3,17.63227717,61,9.571611152
KernRiver,61.3998,5.729158743,79.74,5.595991081
KingCity,20.07,11.55874114,44.6,10.3549374
LaPaloma,164.5329771,7.253387806,258.9225,6.871537514
Lambie,14.40000289,16.55302241,48,12.85669862
Larkspur,21.168,10.76281124,47.04,9.641795446
LiveOak,47.0151,11.401264,47.49,11.34322136
LodiCC,136.161,5.873467372,302.58,7.083210317
LodiPeaker,11.385,11.55872694,25.3,10.35493101
LosEsteros,147,8.159575,294,7.3097875
LosMedanos,367.764552,7.175864275,561.29,6.919018481
LaRosita1,99,7.919022594,180,7.11154538
LaRosita2,177.1,7.853589578,322,7.148579268
Malaga1,21.6,10.82384694,48,9.722996164
Malaga2,21.6,9.042059197,48,8.122390713
Malburg,81.84307692,7.836080147,134,7.699818182
Mandalay,39,19.47854288,130,15.93715252
Mariposa,22.05,13.33148994,49,8.944970474
MarshLanding,92.266875,13.29114815,205.0375,9.286516667
McGrath,28.32,10.3788128,47.2,9.982179987
McKittrick,47.0151,15.30472253,47.49,15.2076453
Metcalf,354.1957021,7.32055052,593.16,6.871535677
Midway,26.97975,15.11165774,59.955,10.24413384
MidwaySunset,81.84,5.59837938,82.66666667,5.596447667
MiraLoma,27.6,10.37878441,46,9.982162951
MiramarAgg,10.8,17.63227717,36,9.571611152
Miramar1,21.6,10.64823978,48,9.555290138
Miramar2,21.555,15.36981818,47.9,9.421668182
Mountainview3,278.2568978,7.242160712,525,6.857108261
Mountaiview4,337.7516606,7.083557876,525,6.829558602
Oakland,16.5,15.77768935,55,12.57769991
OrangeGrove,21.6,26.39981481,48,16.18696667
OtayMesa,334.5741027,7.207636177,603.68,6.973703188
Palomar,305.189742,7.35179349,575,6.797103608
Panoche,45.1125,13.28095885,100.25,9.371581481
PanochePeaker,22.4865,11.55871051,49.97,10.35492362
Pastoria1,252.3383283,7.260289967,399.735,6.871535578
Pastoria2,247.34549,7.281568295,399.735,6.871533333
PioPico,30.801,17.63227717,102.67,9.571611152
Ripon,45.5895,3.014911942,46.05,3.091585605
Riverside,21.920625,14.61122066,48.7125,9.783560726
Riverview,21.915,11.55874114,48.7,10.3549374
Russel,248,7.2,620,7.2
SantaClara,1.575,5.580626781,3.5,6.719882051
Sentinel,41.412375,13.28096359,92.0275,9.371583616
Springs,4.05,13.37242867,9,8.599418615
Stanton,29.4,17.63227717,98,9.571611152
Sunrise,331.0967839,7.383948109,586.02,6.871531352
Sutter,288.8408579,7.34967463,525,6.907375615
Sycamore,84.14998878,5.600378551,85,5.596315903
TermoMexi,343.75,7.580936799,625,6.90052024
Tracy,182.754,9.169231599,332.28,8.310077379
WalnutCreek,43.4817,13.28503704,96.626,9.337666667
Wellhead,22.05,13.33251293,49,8.936505102
Wolfskill,21.105,11.55874114,46.9,10.3549374
YubaCity,20.7,11.55874114,46,10.3549374
DoubleC,25.85385,11.4011435,26.115,11.34310206
LodiSTIG,22.45500439,11.57592542,49.9,10.3573413
Battery_LCR_Bay_Area,0,#DIV/0!,0,0
Battery_LCR_Big_Creek_Ventura,0,#DIV/0!,0,0
Battery_LCR_Fresno,0,#DIV/0!,0,0
Battery_LCR_Humboldt,0,#DIV/0!,0,0
Battery_LCR_Kern,0,#DIV/0!,0,0
Battery_LCR_LA_Basin,0,#DIV/0!,0,0
Battery_LCR_NCNB,0,#DIV/0!,0,0
Battery_LCR_San_Diego,0,#DIV/0!,0,0
Battery_LCR_Sierra,0,#DIV/0!,0,0
Battery_LCR_Stockton,0,#DIV/0!,0,0
Advanced_CCGT_LCR_Bay_Area,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_Big_Creek_Ventura,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_Fresno,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_Humboldt,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_Kern,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_LA_Basin,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_NCNB,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_San_Diego,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_Sierra,120,10.16666667,600,6.833333333
Advanced_CCGT_LCR_Stockton,120,10.16666667,600,6.833333333
Aero_CT_LCR_Bay_Area,30,17.63227717,100,9.571611152
Aero_CT_LCR_Big_Creek_Ventura,30,17.63227717,100,9.571611152
Aero_CT_LCR_Fresno,30,17.63227717,100,9.571611152
Aero_CT_LCR_Humboldt,30,17.63227717,100,9.571611152
Aero_CT_LCR_Kern,30,17.63227717,100,9.571611152
Aero_CT_LCR_LA_Basin,30,17.63227717,100,9.571611152
Aero_CT_LCR_NCNB,30,17.63227717,100,9.571611152
Aero_CT_LCR_San_Diego,30,17.63227717,100,9.571611152
Aero_CT_LCR_Sierra,30,17.63227717,100,9.571611152
Aero_CT_LCR_Stockton,30,17.63227717,100,9.571611152
CAISO_CHP,19.36628736,7.606030358,19.36628736,7.606030358
CAISO_Nuclear,422.9212667,13.00818935,584.4092,12.55379576
CAISO_CCGT1,290.8353127,7.280449514,483.7144444,6.864566346
CAISO_CCGT2,129.3011394,7.99604903,247.86,7.380910582
CAISO_Peaker1,28.64352581,12.90386057,62.25758065,9.308457335
CAISO_Peaker2,21.67503459,14.98814866,45.3666129,11.95511268
CAISO_Advanced_CCGT,120,10.16666667,600,6.833333333
CAISO_Aero_CT,30,17.63227717,100,9.571611152
CAISO_Reciprocating_Engine,0.988330029,10.89317174,5.363265306,9.150960649
CAISO_ST,27.35348005,17.11677404,336.6406667,9.663366248
CAISO_Conventional_DR,0,#DIV/0!,1,0
NW_Nuclear,1170,10.907,1170,10.907
NW_Coal,129,11.25893798,305,10.60863934
NW_CCGT,178,7.721331461,337,7.141320475
NW_Peaker,10,12.5001,28,10.59139286
SW_Nuclear,1403,10.544,1403,10.544
SW_Coal,174,11.21092529,414,10.37386715
SW_CCGT,205,7.667429268,372,7.143341398
SW_Peaker,26,14.26888462,71,10.55423944
LDWP_Nuclear,152.2306667,10.54383227,152.2306667,10.54383227
LDWP_Coal,328,10.28905793,900,9.607705556
LDWP_CCGT,122.56,7.094947128,215.1,6.994728963
LDWP_Peaker,36.43,10.53193138,73.63,9.041540948
IID_CCGT,60.54,9.208848034,127.65,7.905106541
IID_Peaker,14.3,16.20818881,40.7,12.14039066
BANC_CCGT,123.71,8.037048339,234.26,7.677428925
BANC_Peaker,16.36,12.12144499,40.48,10.39202372
CAISO_Peaker1_Planned,28.64352581,12.90386057,62.25758065,9.308457335
CAISO_Peaker2_Planned,21.67503459,14.98814866,45.3666129,11.95511268
CAISO_CCGT1_Planned,290.8353127,7.280449514,483.7144444,6.864566346
CAISO_Reciprocating_Engine_Candidate,0.988330029,10.89317174,5.363265306,9.150960649
