stage_id,timepoint,availability_derate
1,2020010101,1
1,2020010102,1
1,2020010103,1
1,2020010104,1
1,2020010105,1
1,2020010106,1
1,2020010107,1
1,2020010108,1
1,2020010109,1
1,2020010110,1
1,2020010111,1
1,2020010112,1
1,2020010113,1
1,2020010114,1
1,2020010115,1
1,2020010116,1
1,2020010117,1
1,2020010118,1
1,2020010119,1
1,2020010120,1
1,2020010121,1
1,2020010122,1
1,2020010123,1
1,2020010124,1
1,2020010201,1
1,2020010202,1
1,2020010203,1
1,2020010204,1
1,2020010205,1
1,2020010206,1
1,2020010207,1
1,2020010208,1
1,2020010209,1
1,2020010210,1
1,2020010211,1
1,2020010212,1
1,2020010213,1
1,2020010214,1
1,2020010215,1
1,2020010216,1
1,2020010217,1
1,2020010218,1
1,2020010219,1
1,2020010220,1
1,2020010221,1
1,2020010222,1
1,2020010223,1
1,2020010224,1
1,2020010301,1
1,2020010302,1
1,2020010303,1
1,2020010304,1
1,2020010305,1
1,2020010306,1
1,2020010307,1
1,2020010308,1
1,2020010309,1
1,2020010310,1
1,2020010311,1
1,2020010312,1
1,2020010313,1
1,2020010314,1
1,2020010315,1
1,2020010316,1
1,2020010317,1
1,2020010318,1
1,2020010319,1
1,2020010320,1
1,2020010321,1
1,2020010322,1
1,2020010323,1
1,2020010324,1
1,2020010401,1
1,2020010402,1
1,2020010403,1
1,2020010404,1
1,2020010405,1
1,2020010406,1
1,2020010407,1
1,2020010408,1
1,2020010409,1
1,2020010410,1
1,2020010411,1
1,2020010412,1
1,2020010413,1
1,2020010414,1
1,2020010415,1
1,2020010416,1
1,2020010417,1
1,2020010418,1
1,2020010419,1
1,2020010420,1
1,2020010421,1
1,2020010422,1
1,2020010423,1
1,2020010424,1
1,2020010501,1
1,2020010502,1
1,2020010503,1
1,2020010504,1
1,2020010505,1
1,2020010506,1
1,2020010507,1
1,2020010508,1
1,2020010509,1
1,2020010510,1
1,2020010511,1
1,2020010512,1
1,2020010513,1
1,2020010514,1
1,2020010515,1
1,2020010516,1
1,2020010517,1
1,2020010518,1
1,2020010519,1
1,2020010520,1
1,2020010521,1
1,2020010522,1
1,2020010523,1
1,2020010524,1
1,2020010601,1
1,2020010602,1
1,2020010603,1
1,2020010604,1
1,2020010605,1
1,2020010606,1
1,2020010607,1
1,2020010608,1
1,2020010609,1
1,2020010610,1
1,2020010611,1
1,2020010612,1
1,2020010613,1
1,2020010614,1
1,2020010615,1
1,2020010616,1
1,2020010617,1
1,2020010618,1
1,2020010619,1
1,2020010620,1
1,2020010621,1
1,2020010622,1
1,2020010623,1
1,2020010624,1
1,2020010701,1
1,2020010702,1
1,2020010703,1
1,2020010704,1
1,2020010705,1
1,2020010706,1
1,2020010707,1
1,2020010708,1
1,2020010709,1
1,2020010710,1
1,2020010711,1
1,2020010712,1
1,2020010713,1
1,2020010714,1
1,2020010715,1
1,2020010716,1
1,2020010717,1
1,2020010718,1
1,2020010719,1
1,2020010720,1
1,2020010721,1
1,2020010722,1
1,2020010723,1
1,2020010724,1
1,2020010801,1
1,2020010802,1
1,2020010803,1
1,2020010804,1
1,2020010805,1
1,2020010806,1
1,2020010807,1
1,2020010808,1
1,2020010809,1
1,2020010810,1
1,2020010811,1
1,2020010812,1
1,2020010813,1
1,2020010814,1
1,2020010815,1
1,2020010816,1
1,2020010817,1
1,2020010818,1
1,2020010819,1
1,2020010820,1
1,2020010821,1
1,2020010822,1
1,2020010823,1
1,2020010824,1
1,2020010901,1
1,2020010902,1
1,2020010903,1
1,2020010904,1
1,2020010905,1
1,2020010906,1
1,2020010907,1
1,2020010908,1
1,2020010909,1
1,2020010910,1
1,2020010911,1
1,2020010912,1
1,2020010913,1
1,2020010914,1
1,2020010915,1
1,2020010916,1
1,2020010917,1
1,2020010918,1
1,2020010919,1
1,2020010920,1
1,2020010921,1
1,2020010922,1
1,2020010923,1
1,2020010924,1
1,2020011001,1
1,2020011002,1
1,2020011003,1
1,2020011004,1
1,2020011005,1
1,2020011006,1
1,2020011007,1
1,2020011008,1
1,2020011009,1
1,2020011010,1
1,2020011011,1
1,2020011012,1
1,2020011013,1
1,2020011014,1
1,2020011015,1
1,2020011016,1
1,2020011017,1
1,2020011018,1
1,2020011019,1
1,2020011020,1
1,2020011021,1
1,2020011022,1
1,2020011023,1
1,2020011024,1
1,2020011101,1
1,2020011102,1
1,2020011103,1
1,2020011104,1
1,2020011105,1
1,2020011106,1
1,2020011107,1
1,2020011108,1
1,2020011109,1
1,2020011110,1
1,2020011111,1
1,2020011112,1
1,2020011113,1
1,2020011114,1
1,2020011115,1
1,2020011116,1
1,2020011117,1
1,2020011118,1
1,2020011119,1
1,2020011120,1
1,2020011121,1
1,2020011122,1
1,2020011123,1
1,2020011124,1
1,2020011201,1
1,2020011202,1
1,2020011203,1
1,2020011204,1
1,2020011205,1
1,2020011206,1
1,2020011207,1
1,2020011208,1
1,2020011209,1
1,2020011210,1
1,2020011211,1
1,2020011212,1
1,2020011213,1
1,2020011214,1
1,2020011215,1
1,2020011216,1
1,2020011217,1
1,2020011218,1
1,2020011219,1
1,2020011220,1
1,2020011221,1
1,2020011222,1
1,2020011223,1
1,2020011224,1
1,2020011301,1
1,2020011302,1
1,2020011303,1
1,2020011304,1
1,2020011305,1
1,2020011306,1
1,2020011307,1
1,2020011308,1
1,2020011309,1
1,2020011310,1
1,2020011311,1
1,2020011312,1
1,2020011313,1
1,2020011314,1
1,2020011315,1
1,2020011316,1
1,2020011317,1
1,2020011318,1
1,2020011319,1
1,2020011320,1
1,2020011321,1
1,2020011322,1
1,2020011323,1
1,2020011324,1
1,2020011401,0.5
1,2020011402,0.5
1,2020011403,0.5
1,2020011404,0.5
1,2020011405,0.5
1,2020011406,0.5
1,2020011407,0.5
1,2020011408,0.5
1,2020011409,0.5
1,2020011410,0.5
1,2020011411,0.5
1,2020011412,0.5
1,2020011413,0.5
1,2020011414,0.5
1,2020011415,0.5
1,2020011416,0.5
1,2020011417,0.5
1,2020011418,0.5
1,2020011419,0.5
1,2020011420,0.5
1,2020011421,0.5
1,2020011422,0.5
1,2020011423,0.5
1,2020011424,0.5
1,2020011501,0.5
1,2020011502,0.5
1,2020011503,0.5
1,2020011504,0.5
1,2020011505,0.5
1,2020011506,0.5
1,2020011507,0.5
1,2020011508,0.5
1,2020011509,0.5
1,2020011510,0.5
1,2020011511,0.5
1,2020011512,0.5
1,2020011513,0.5
1,2020011514,0.5
1,2020011515,0.5
1,2020011516,0.5
1,2020011517,0.5
1,2020011518,0.5
1,2020011519,0.5
1,2020011520,0.5
1,2020011521,0.5
1,2020011522,0.5
1,2020011523,0.5
1,2020011524,0.5
1,2020011601,1
1,2020011602,1
1,2020011603,1
1,2020011604,1
1,2020011605,1
1,2020011606,1
1,2020011607,1
1,2020011608,1
1,2020011609,1
1,2020011610,1
1,2020011611,1
1,2020011612,1
1,2020011613,1
1,2020011614,1
1,2020011615,1
1,2020011616,1
1,2020011617,1
1,2020011618,1
1,2020011619,1
1,2020011620,1
1,2020011621,1
1,2020011622,1
1,2020011623,1
1,2020011624,1
1,2020011701,1
1,2020011702,1
1,2020011703,1
1,2020011704,1
1,2020011705,1
1,2020011706,1
1,2020011707,1
1,2020011708,1
1,2020011709,1
1,2020011710,1
1,2020011711,1
1,2020011712,1
1,2020011713,1
1,2020011714,1
1,2020011715,1
1,2020011716,1
1,2020011717,1
1,2020011718,1
1,2020011719,1
1,2020011720,1
1,2020011721,1
1,2020011722,1
1,2020011723,1
1,2020011724,1
1,2020011801,1
1,2020011802,1
1,2020011803,1
1,2020011804,1
1,2020011805,1
1,2020011806,1
1,2020011807,1
1,2020011808,1
1,2020011809,1
1,2020011810,1
1,2020011811,1
1,2020011812,1
1,2020011813,1
1,2020011814,1
1,2020011815,1
1,2020011816,1
1,2020011817,1
1,2020011818,1
1,2020011819,1
1,2020011820,1
1,2020011821,1
1,2020011822,1
1,2020011823,1
1,2020011824,1
1,2020011901,1
1,2020011902,1
1,2020011903,1
1,2020011904,1
1,2020011905,1
1,2020011906,1
1,2020011907,1
1,2020011908,1
1,2020011909,1
1,2020011910,1
1,2020011911,1
1,2020011912,1
1,2020011913,1
1,2020011914,1
1,2020011915,1
1,2020011916,1
1,2020011917,1
1,2020011918,1
1,2020011919,1
1,2020011920,1
1,2020011921,1
1,2020011922,1
1,2020011923,1
1,2020011924,1
1,2020012001,1
1,2020012002,1
1,2020012003,1
1,2020012004,1
1,2020012005,1
1,2020012006,1
1,2020012007,1
1,2020012008,1
1,2020012009,1
1,2020012010,1
1,2020012011,1
1,2020012012,1
1,2020012013,1
1,2020012014,1
1,2020012015,1
1,2020012016,1
1,2020012017,1
1,2020012018,1
1,2020012019,1
1,2020012020,1
1,2020012021,1
1,2020012022,1
1,2020012023,1
1,2020012024,1
1,2020012101,1
1,2020012102,1
1,2020012103,1
1,2020012104,1
1,2020012105,1
1,2020012106,1
1,2020012107,1
1,2020012108,1
1,2020012109,1
1,2020012110,1
1,2020012111,1
1,2020012112,1
1,2020012113,1
1,2020012114,1
1,2020012115,1
1,2020012116,1
1,2020012117,1
1,2020012118,1
1,2020012119,1
1,2020012120,1
1,2020012121,1
1,2020012122,1
1,2020012123,1
1,2020012124,1
1,2020012201,1
1,2020012202,1
1,2020012203,1
1,2020012204,1
1,2020012205,1
1,2020012206,1
1,2020012207,1
1,2020012208,1
1,2020012209,1
1,2020012210,1
1,2020012211,1
1,2020012212,1
1,2020012213,1
1,2020012214,1
1,2020012215,1
1,2020012216,1
1,2020012217,1
1,2020012218,1
1,2020012219,1
1,2020012220,1
1,2020012221,1
1,2020012222,1
1,2020012223,1
1,2020012224,1
1,2020012301,1
1,2020012302,1
1,2020012303,1
1,2020012304,1
1,2020012305,1
1,2020012306,1
1,2020012307,1
1,2020012308,1
1,2020012309,1
1,2020012310,1
1,2020012311,1
1,2020012312,1
