stage_id,timepoint,cap_factor
1,2020010101,0.6086
1,2020010102,0.517
1,2020010103,0.517
1,2020010104,0.517
1,2020010105,0.517
1,2020010106,0.6086
1,2020010107,0.6086
1,2020010108,0.6086
1,2020010109,0.6086
1,2020010110,0.4263
1,2020010111,0.2724
1,2020010112,0.3445
1,2020010113,0.517
1,2020010114,0.4263
1,2020010115,0.3445
1,2020010116,0.4263
1,2020010117,0.517
1,2020010118,0.517
1,2020010119,0.517
1,2020010120,0.7002
1,2020010121,0.7801
1,2020010122,0.7801
1,2020010123,0.7801
1,2020010124,0.7002
1,2020010201,0.7002
1,2020010202,0.6086
1,2020010203,0.517
1,2020010204,0.517
1,2020010205,0.517
1,2020010206,0.4263
1,2020010207,0.4263
1,2020010208,0.4263
1,2020010209,0.4263
1,2020010210,0.2724
1,2020010211,0.1543
1,2020010212,0.1543
1,2020010213,0.1073
1,2020010214,0.0686
1,2020010215,0.0382
1,2020010216,0.0162
1,2020010217,0.0382
1,2020010218,0.0686
1,2020010219,0.1543
1,2020010220,0.2724
1,2020010221,0.4263
1,2020010222,0.517
1,2020010223,0.517
1,2020010224,0.517
1,2020010301,0.6086
1,2020010302,0.517
1,2020010303,0.517
1,2020010304,0.517
1,2020010305,0.517
1,2020010306,0.6086
1,2020010307,0.6086
1,2020010308,0.6086
1,2020010309,0.6086
1,2020010310,0.4263
1,2020010311,0.2724
1,2020010312,0.3445
1,2020010313,0.517
1,2020010314,0.4263
1,2020010315,0.3445
1,2020010316,0.4263
1,2020010317,0.517
1,2020010318,0.517
1,2020010319,0.517
1,2020010320,0.7002
1,2020010321,0.7801
1,2020010322,0.7801
1,2020010323,0.7801
1,2020010324,0.7002
1,2020010401,0.7002
1,2020010402,0.6086
1,2020010403,0.517
1,2020010404,0.517
1,2020010405,0.517
1,2020010406,0.4263
1,2020010407,0.4263
1,2020010408,0.4263
1,2020010409,0.4263
1,2020010410,0.2724
1,2020010411,0.1543
1,2020010412,0.1543
1,2020010413,0.1073
1,2020010414,0.0686
1,2020010415,0.0382
1,2020010416,0.0162
1,2020010417,0.0382
1,2020010418,0.0686
1,2020010419,0.1543
1,2020010420,0.2724
1,2020010421,0.4263
1,2020010422,0.517
1,2020010423,0.517
1,2020010424,0.517
1,2020010501,0.6086
1,2020010502,0.517
1,2020010503,0.517
1,2020010504,0.517
1,2020010505,0.517
1,2020010506,0.6086
1,2020010507,0.6086
1,2020010508,0.6086
1,2020010509,0.6086
1,2020010510,0.4263
1,2020010511,0.2724
1,2020010512,0.3445
1,2020010513,0.517
1,2020010514,0.4263
1,2020010515,0.3445
1,2020010516,0.4263
1,2020010517,0.517
1,2020010518,0.517
1,2020010519,0.517
1,2020010520,0.7002
1,2020010521,0.7801
1,2020010522,0.7801
1,2020010523,0.7801
1,2020010524,0.7002
1,2020010601,0.7002
1,2020010602,0.6086
1,2020010603,0.517
1,2020010604,0.517
1,2020010605,0.517
1,2020010606,0.4263
1,2020010607,0.4263
1,2020010608,0.4263
1,2020010609,0.4263
1,2020010610,0.2724
1,2020010611,0.1543
1,2020010612,0.1543
1,2020010613,0.1073
1,2020010614,0.0686
1,2020010615,0.0382
1,2020010616,0.0162
1,2020010617,0.0382
1,2020010618,0.0686
1,2020010619,0.1543
1,2020010620,0.2724
1,2020010621,0.4263
1,2020010622,0.517
1,2020010623,0.517
1,2020010624,0.517
1,2020010701,0.6086
1,2020010702,0.517
1,2020010703,0.517
1,2020010704,0.517
1,2020010705,0.517
1,2020010706,0.6086
1,2020010707,0.6086
1,2020010708,0.6086
1,2020010709,0.6086
1,2020010710,0.4263
1,2020010711,0.2724
1,2020010712,0.3445
1,2020010713,0.517
1,2020010714,0.4263
1,2020010715,0.3445
1,2020010716,0.4263
1,2020010717,0.517
1,2020010718,0.517
1,2020010719,0.517
1,2020010720,0.7002
1,2020010721,0.7801
1,2020010722,0.7801
1,2020010723,0.7801
1,2020010724,0.7002
1,2020010801,0.7002
1,2020010802,0.6086
1,2020010803,0.517
1,2020010804,0.517
1,2020010805,0.517
1,2020010806,0.4263
1,2020010807,0.4263
1,2020010808,0.4263
1,2020010809,0.4263
1,2020010810,0.2724
1,2020010811,0.1543
1,2020010812,0.1543
1,2020010813,0.1073
1,2020010814,0.0686
1,2020010815,0.0382
1,2020010816,0.0162
1,2020010817,0.0382
1,2020010818,0.0686
1,2020010819,0.1543
1,2020010820,0.2724
1,2020010821,0.4263
1,2020010822,0.517
1,2020010823,0.517
1,2020010824,0.517
1,2020010901,0.6086
1,2020010902,0.517
1,2020010903,0.517
1,2020010904,0.517
1,2020010905,0.517
1,2020010906,0.6086
1,2020010907,0.6086
1,2020010908,0.6086
1,2020010909,0.6086
1,2020010910,0.4263
1,2020010911,0.2724
1,2020010912,0.3445
1,2020010913,0.517
1,2020010914,0.4263
1,2020010915,0.3445
1,2020010916,0.4263
1,2020010917,0.517
1,2020010918,0.517
1,2020010919,0.517
1,2020010920,0.7002
1,2020010921,0.7801
1,2020010922,0.7801
1,2020010923,0.7801
1,2020010924,0.7002
1,2020011001,0.7002
1,2020011002,0.6086
1,2020011003,0.517
1,2020011004,0.517
1,2020011005,0.517
1,2020011006,0.4263
1,2020011007,0.4263
1,2020011008,0.4263
1,2020011009,0.4263
1,2020011010,0.2724
1,2020011011,0.1543
1,2020011012,0.1543
1,2020011013,0.1073
1,2020011014,0.0686
1,2020011015,0.0382
1,2020011016,0.0162
1,2020011017,0.0382
1,2020011018,0.0686
1,2020011019,0.1543
1,2020011020,0.2724
1,2020011021,0.4263
1,2020011022,0.517
1,2020011023,0.517
1,2020011024,0.517
1,2020011101,0.6086
1,2020011102,0.517
1,2020011103,0.517
1,2020011104,0.517
1,2020011105,0.517
1,2020011106,0.6086
1,2020011107,0.6086
1,2020011108,0.6086
1,2020011109,0.6086
1,2020011110,0.4263
1,2020011111,0.2724
1,2020011112,0.3445
1,2020011113,0.517
1,2020011114,0.4263
1,2020011115,0.3445
1,2020011116,0.4263
1,2020011117,0.517
1,2020011118,0.517
1,2020011119,0.517
1,2020011120,0.7002
1,2020011121,0.7801
1,2020011122,0.7801
1,2020011123,0.7801
1,2020011124,0.7002
1,2020011201,0.7002
1,2020011202,0.6086
1,2020011203,0.517
1,2020011204,0.517
1,2020011205,0.517
1,2020011206,0.4263
1,2020011207,0.4263
1,2020011208,0.4263
1,2020011209,0.4263
1,2020011210,0.2724
1,2020011211,0.1543
1,2020011212,0.1543
1,2020011213,0.1073
1,2020011214,0.0686
1,2020011215,0.0382
1,2020011216,0.0162
1,2020011217,0.0382
1,2020011218,0.0686
1,2020011219,0.1543
1,2020011220,0.2724
1,2020011221,0.4263
1,2020011222,0.517
