stage_id,timepoint,cap_factor
1,2020010101,0.48688
1,2020010102,0.4136
1,2020010103,0.4136
1,2020010104,0.4136
1,2020010105,0.4136
1,2020010106,0.48688
1,2020010107,0.48688
1,2020010108,0.48688
1,2020010109,0.48688
1,2020010110,0.34104
1,2020010111,0.21792
1,2020010112,0.2756
1,2020010113,0.4136
1,2020010114,0.34104
1,2020010115,0.2756
1,2020010116,0.34104
1,2020010117,0.4136
1,2020010118,0.4136
1,2020010119,0.4136
1,2020010120,0.56016
1,2020010121,0.62408
1,2020010122,0.62408
1,2020010123,0.62408
1,2020010124,0.56016
1,2020010201,0.56016
1,2020010202,0.48688
1,2020010203,0.4136
1,2020010204,0.4136
1,2020010205,0.4136
1,2020010206,0.34104
1,2020010207,0.34104
1,2020010208,0.34104
1,2020010209,0.34104
1,2020010210,0.21792
1,2020010211,0.12344
1,2020010212,0.12344
1,2020010213,0.08584
1,2020010214,0.05488
1,2020010215,0.03056
1,2020010216,0.01296
1,2020010217,0.03056
1,2020010218,0.05488
1,2020010219,0.12344
1,2020010220,0.21792
1,2020010221,0.34104
1,2020010222,0.4136
1,2020010223,0.4136
1,2020010224,0.4136
1,2020010301,0.48688
1,2020010302,0.4136
1,2020010303,0.4136
1,2020010304,0.4136
1,2020010305,0.4136
1,2020010306,0.48688
1,2020010307,0.48688
1,2020010308,0.48688
1,2020010309,0.48688
1,2020010310,0.34104
1,2020010311,0.21792
1,2020010312,0.2756
1,2020010313,0.4136
1,2020010314,0.34104
1,2020010315,0.2756
1,2020010316,0.34104
1,2020010317,0.4136
1,2020010318,0.4136
1,2020010319,0.4136
1,2020010320,0.56016
1,2020010321,0.62408
1,2020010322,0.62408
1,2020010323,0.62408
1,2020010324,0.56016
1,2020010401,0.56016
1,2020010402,0.48688
1,2020010403,0.4136
1,2020010404,0.4136
1,2020010405,0.4136
1,2020010406,0.34104
1,2020010407,0.34104
1,2020010408,0.34104
1,2020010409,0.34104
1,2020010410,0.21792
1,2020010411,0.12344
1,2020010412,0.12344
1,2020010413,0.08584
1,2020010414,0.05488
1,2020010415,0.03056
1,2020010416,0.01296
1,2020010417,0.03056
