load_zone,stage_id,timepoint,load_mw
Zone1,1,2020010101,638.4896713
Zone1,1,2020010102,624.5328518
Zone1,1,2020010103,619.763698
Zone1,1,2020010104,626.852784
Zone1,1,2020010105,635.9765644
Zone1,1,2020010106,651.2520855
Zone1,1,2020010107,671.7468485
Zone1,1,2020010108,691.9082555
Zone1,1,2020010109,706.8968851
Zone1,1,2020010110,717.6946624
Zone1,1,2020010111,717.1343895
Zone1,1,2020010112,708.9337533
Zone1,1,2020010113,697.5036592
Zone1,1,2020010114,687.4755378
Zone1,1,2020010115,677.9943397
Zone1,1,2020010116,670.4977531
Zone1,1,2020010117,671.8038638
Zone1,1,2020010118,677.1840051
Zone1,1,2020010119,680.2243741
Zone1,1,2020010120,681.6161458
Zone1,1,2020010121,677.3821679
Zone1,1,2020010122,661.8180054
Zone1,1,2020010123,642.0636962
Zone1,1,2020010124,626.0356411
