results_table,include,caption
results_project_capacity,1,Project Capacity
results_project_carbon_emissions,1,Project Carbon Emissions
results_project_costs_capacity,1,Project Capacity Costs
results_project_costs_operations,1,Project Operations Costs
results_project_curtailment_hydro,0,Hydro Project Curtailment
results_project_curtailment_variable,0,Variable Project Curtailment
results_project_dispatch,0,Project Dispatch
results_project_dispatch_by_technology,0,Dispatch by Technology
results_project_elcc_simple,0,Project Simple ELCC
results_project_elcc_surface,0,Project ELCC Surface
results_project_frequency_response,0,Project Frequency Response
results_project_fuel_burn,0,Project Fuel Burn
results_project_lf_reserves_down,0,Project Load-Following Reserves Down
results_project_lf_reserves_up,0,Project Load-Following Reserves Up
results_project_local_capacity,0,Project Local Capacity Contribution
results_project_prm_deliverability,0,Project PRM Deliverability
results_project_prm_deliverability_group_capacity_and_costs,0,Project PRM Deliverability Group Capacity and Costs
results_project_regulation_down,0,Project Regulation Down
results_project_regulation_up,0,Project Regulation Up
results_project_rps,0,Project RPS Contributions
results_project_spinning_reserves,1,Project Spinning Reserves
results_system_carbon_emissions,0,System Carbon Emissions
results_system_frequency_response_balance,1,System Frequency Response Balance
results_system_frequency_response_partial_balance,0,System Frequency Response (Partial) Balance
results_system_lf_reserves_down_balance,0,System Load-Following Reserves Down Balance
results_system_lf_reserves_up_balance,0,System Load-Following Reserves Up  Balance
results_system_load_balance,1,System Load Balance
results_system_local_capacity,0,System Local Capacity Balance
results_system_prm,0,System PRM Balance
results_system_regulation_down_balance,0,System Regulation Down Balance
results_system_regulation_up_balance,0,System Regulation Up Balance
results_system_rps,1,System RPS
results_system_spinning_reserves_balance,1,System Spining Reserves Balance
results_transmission_capacity,0,Transmission Capacity
results_transmission_capacity_new_build,0,Transmission New Build Capacity
results_transmission_carbon_emissions,0,Transmission Carbon Emissions
results_transmission_costs_capacity,0,Transmission Capacity Costs
results_transmission_hurdle_costs,0,Transmission Hurdle Costs
results_transmission_imports_exports,1,Imports/Exports
results_transmission_operations,0,Transmission Operations
