resource,day,value
BANC_Small_Hydro_for_CAISO,1,0.5
BANC_Small_Hydro_for_CAISO,2,0.5
BANC_Small_Hydro_for_CAISO,3,0.5
BANC_Small_Hydro_for_CAISO,4,0.5
BANC_Small_Hydro_for_CAISO,5,0.5
BANC_Small_Hydro_for_CAISO,6,0.5
BANC_Small_Hydro_for_CAISO,7,0.5
BANC_Small_Hydro_for_CAISO,8,0.5
BANC_Small_Hydro_for_CAISO,9,0.5
BANC_Small_Hydro_for_CAISO,10,0.5
BANC_Small_Hydro_for_CAISO,11,0.5
BANC_Small_Hydro_for_CAISO,12,0.5
BANC_Small_Hydro_for_CAISO,13,0.5
BANC_Small_Hydro_for_CAISO,14,0.5
BANC_Small_Hydro_for_CAISO,15,0.5
BANC_Small_Hydro_for_CAISO,16,0.5
BANC_Small_Hydro_for_CAISO,17,0.5
BANC_Small_Hydro_for_CAISO,18,0.5
BANC_Small_Hydro_for_CAISO,19,0.5
BANC_Small_Hydro_for_CAISO,20,0.5
BANC_Small_Hydro_for_CAISO,21,0.5
BANC_Small_Hydro_for_CAISO,22,0.5
BANC_Small_Hydro_for_CAISO,23,0.5
BANC_Small_Hydro_for_CAISO,24,0.5
BANC_Small_Hydro_for_CAISO,25,0.5
BANC_Small_Hydro_for_CAISO,26,0.5
BANC_Small_Hydro_for_CAISO,27,0.5
BANC_Small_Hydro_for_CAISO,28,0.5
BANC_Small_Hydro_for_CAISO,29,0.5
BANC_Small_Hydro_for_CAISO,30,0.5
BANC_Small_Hydro_for_CAISO,31,0.5
BANC_Small_Hydro_for_CAISO,32,0.5
BANC_Small_Hydro_for_CAISO,33,0.5
BANC_Small_Hydro_for_CAISO,34,0.5
BANC_Small_Hydro_for_CAISO,35,0.5
BANC_Small_Hydro_for_CAISO,36,0.5
BANC_Small_Hydro_for_CAISO,37,0.5
CAISO_Biomass_for_CAISO,1,0.855319
CAISO_Biomass_for_CAISO,2,0.855319
CAISO_Biomass_for_CAISO,3,0.855319
CAISO_Biomass_for_CAISO,4,0.855319
CAISO_Biomass_for_CAISO,5,0.855319
CAISO_Biomass_for_CAISO,6,0.855319
CAISO_Biomass_for_CAISO,7,0.855319
CAISO_Biomass_for_CAISO,8,0.855319
CAISO_Biomass_for_CAISO,9,0.855319
CAISO_Biomass_for_CAISO,10,0.855319
CAISO_Biomass_for_CAISO,11,0.855319
CAISO_Biomass_for_CAISO,12,0.855319
CAISO_Biomass_for_CAISO,13,0.855319
CAISO_Biomass_for_CAISO,14,0.855319
CAISO_Biomass_for_CAISO,15,0.855319
CAISO_Biomass_for_CAISO,16,0.855319
CAISO_Biomass_for_CAISO,17,0.855319
CAISO_Biomass_for_CAISO,18,0.855319
CAISO_Biomass_for_CAISO,19,0.855319
CAISO_Biomass_for_CAISO,20,0.855319
CAISO_Biomass_for_CAISO,21,0.855319
CAISO_Biomass_for_CAISO,22,0.855319
CAISO_Biomass_for_CAISO,23,0.855319
CAISO_Biomass_for_CAISO,24,0.855319
CAISO_Biomass_for_CAISO,25,0.855319
CAISO_Biomass_for_CAISO,26,0.855319
CAISO_Biomass_for_CAISO,27,0.855319
CAISO_Biomass_for_CAISO,28,0.855319
CAISO_Biomass_for_CAISO,29,0.855319
CAISO_Biomass_for_CAISO,30,0.855319
CAISO_Biomass_for_CAISO,31,0.855319
CAISO_Biomass_for_CAISO,32,0.855319
CAISO_Biomass_for_CAISO,33,0.855319
CAISO_Biomass_for_CAISO,34,0.855319
CAISO_Biomass_for_CAISO,35,0.855319
CAISO_Biomass_for_CAISO,36,0.855319
CAISO_Biomass_for_CAISO,37,0.855319
CAISO_CHP,1,0.582004
CAISO_CHP,2,0.582004
CAISO_CHP,3,0.560423
CAISO_CHP,4,0.509554
CAISO_CHP,5,0.509554
CAISO_CHP,6,0.441535
CAISO_CHP,7,0.441535
CAISO_CHP,8,0.441535
CAISO_CHP,9,0.51522
CAISO_CHP,10,0.51522
CAISO_CHP,11,0.595165
CAISO_CHP,12,0.595165
CAISO_CHP,13,0.574139
CAISO_CHP,14,0.580312
CAISO_CHP,15,0.539067
CAISO_CHP,16,0.539067
CAISO_CHP,17,0.533065
CAISO_CHP,18,0.582004
CAISO_CHP,19,0.441535
CAISO_CHP,20,0.51522
CAISO_CHP,21,0.51522
CAISO_CHP,22,0.595165
CAISO_CHP,23,0.580312
CAISO_CHP,24,0.479595
CAISO_CHP,25,0.533065
CAISO_CHP,26,0.571985
CAISO_CHP,27,0.582004
CAISO_CHP,28,0.582004
CAISO_CHP,29,0.509554
CAISO_CHP,30,0.441535
CAISO_CHP,31,0.441535
CAISO_CHP,32,0.441535
CAISO_CHP,33,0.441535
CAISO_CHP,34,0.441535
CAISO_CHP,35,0.595165
CAISO_CHP,36,0.580312
CAISO_CHP,37,0.479595
CAISO_Coal,1,0.95
CAISO_Coal,2,0.95
CAISO_Coal,3,0.95
CAISO_Coal,4,0.95
CAISO_Coal,5,0.95
CAISO_Coal,6,0.95
CAISO_Coal,7,0.95
CAISO_Coal,8,0.95
CAISO_Coal,9,0.5
CAISO_Coal,10,0.5
CAISO_Coal,11,0.5
CAISO_Coal,12,0.5
CAISO_Coal,13,0.95
CAISO_Coal,14,0.95
CAISO_Coal,15,0.95
CAISO_Coal,16,0.95
CAISO_Coal,17,0.95
CAISO_Coal,18,0.95
CAISO_Coal,19,0.95
CAISO_Coal,20,0.5
CAISO_Coal,21,0.5
CAISO_Coal,22,0.5
CAISO_Coal,23,0.95
CAISO_Coal,24,0.95
CAISO_Coal,25,0.95
CAISO_Coal,26,0.95
CAISO_Coal,27,0.95
CAISO_Coal,28,0.95
CAISO_Coal,29,0.95
CAISO_Coal,30,0.95
CAISO_Coal,31,0.95
CAISO_Coal,32,0.95
CAISO_Coal,33,0.95
CAISO_Coal,34,0.95
CAISO_Coal,35,0.5
CAISO_Coal,36,0.95
CAISO_Coal,37,0.95
CAISO_Geothermal_for_CAISO,1,0.8
CAISO_Geothermal_for_CAISO,2,0.8
CAISO_Geothermal_for_CAISO,3,0.8
CAISO_Geothermal_for_CAISO,4,0.8
CAISO_Geothermal_for_CAISO,5,0.8
CAISO_Geothermal_for_CAISO,6,0.8
CAISO_Geothermal_for_CAISO,7,0.8
CAISO_Geothermal_for_CAISO,8,0.8
CAISO_Geothermal_for_CAISO,9,0.8
CAISO_Geothermal_for_CAISO,10,0.8
CAISO_Geothermal_for_CAISO,11,0.8
CAISO_Geothermal_for_CAISO,12,0.8
CAISO_Geothermal_for_CAISO,13,0.8
CAISO_Geothermal_for_CAISO,14,0.8
CAISO_Geothermal_for_CAISO,15,0.8
CAISO_Geothermal_for_CAISO,16,0.8
CAISO_Geothermal_for_CAISO,17,0.8
CAISO_Geothermal_for_CAISO,18,0.8
CAISO_Geothermal_for_CAISO,19,0.8
CAISO_Geothermal_for_CAISO,20,0.8
CAISO_Geothermal_for_CAISO,21,0.8
CAISO_Geothermal_for_CAISO,22,0.8
CAISO_Geothermal_for_CAISO,23,0.8
CAISO_Geothermal_for_CAISO,24,0.8
CAISO_Geothermal_for_CAISO,25,0.8
CAISO_Geothermal_for_CAISO,26,0.8
CAISO_Geothermal_for_CAISO,27,0.8
CAISO_Geothermal_for_CAISO,28,0.8
CAISO_Geothermal_for_CAISO,29,0.8
CAISO_Geothermal_for_CAISO,30,0.8
CAISO_Geothermal_for_CAISO,31,0.8
CAISO_Geothermal_for_CAISO,32,0.8
CAISO_Geothermal_for_CAISO,33,0.8
CAISO_Geothermal_for_CAISO,34,0.8
CAISO_Geothermal_for_CAISO,35,0.8
CAISO_Geothermal_for_CAISO,36,0.8
CAISO_Geothermal_for_CAISO,37,0.8
CAISO_Nuclear,1,1
CAISO_Nuclear,2,1
CAISO_Nuclear,3,1
CAISO_Nuclear,4,1
CAISO_Nuclear,5,1
CAISO_Nuclear,6,0.75
CAISO_Nuclear,7,0.75
CAISO_Nuclear,8,0.75
CAISO_Nuclear,9,0.75
CAISO_Nuclear,10,0.75
CAISO_Nuclear,11,1
CAISO_Nuclear,12,1
CAISO_Nuclear,13,1
CAISO_Nuclear,14,1
CAISO_Nuclear,15,0.75
CAISO_Nuclear,16,0.75
CAISO_Nuclear,17,1
CAISO_Nuclear,18,1
CAISO_Nuclear,19,0.75
CAISO_Nuclear,20,0.75
CAISO_Nuclear,21,0.75
CAISO_Nuclear,22,1
CAISO_Nuclear,23,1
CAISO_Nuclear,24,0.75
CAISO_Nuclear,25,1
CAISO_Nuclear,26,1
CAISO_Nuclear,27,1
CAISO_Nuclear,28,1
CAISO_Nuclear,29,1
CAISO_Nuclear,30,0.75
