deliverability_group,deliverability_group_no_cost_deliverable_capacity_mw,deliverability_group_deliverability_cost_per_mw,deliverability_group_energy_only_capacity_limit_mw
Carrizo,187,10028.94,0
Central_Valley_North_Los_Banos,790.944,36293.4,0
GLW_VEA,596,14191.89,0
Greater_Imperial,919.08,220825.87,1900
Greater_Kramer,597,48347.05,0
Humboldt,0,999000,100
Inyokern_North_Kramer,97,160604.94,0
Kern_Greater_Carrizo,784,21281.53,700
Kramer_Inyokern_Ex,0,999999,0
Mountain_Pass_El_Dorado,250,7190.56,2150
None,0,0,0
North_Victor,300,160604.94,0
Northern_California_Ex,865.9,999999,0
Riverside_Palm_Springs,2665,88393.43,2550
Sacramento_River,1995.02,18875.22,2600
SCADSNV,2434.08,101992.41,6600
Solano,599,21325.69,700
Solano_subzone,0,999000,0
Southern_California_Desert_Ex,862,999999,0
SPGE,674.944,7285.17,700
Tehachapi,3677,13245.77,800
Tehachapi_Ex,0,999999,0
Westlands_Ex,1778.573,999999,0
