project,elcc_surface_cap_factor
Customer_PV,0.200770529
CAISO_Solar_for_Other,0.277001349
CAISO_Solar_for_CAISO,0.282768082
CAISO_Wind_for_Other,0.284424683
CAISO_Wind_for_CAISO,0.284818125
Carrizo_Solar,0.3077911
Carrizo_Wind,0.311273523
Central_Valley_North_Los_Banos_Solar,0.294295927
Central_Valley_North_Los_Banos_Wind,0.311273523
Distributed_Solar,0.212734774
Mountain_Pass_El_Dorado_Solar,0.306979964
Greater_Imperial_Solar,0.313321057
Greater_Imperial_Wind,0.339427047
Greater_Kramer_Wind,0.310363001
Humboldt_Wind,0.292268958
Inyokern_North_Kramer_Solar,0.322153076
Kern_Greater_Carrizo_Solar,0.3077911
Kern_Greater_Carrizo_Wind,0.311273523
Kramer_Inyokern_Ex_Solar,0.322153076
Kramer_Inyokern_Ex_Wind,0.310363001
North_Victor_Solar,0.322153076
Northern_California_Ex_Solar,0.2794677
Northern_California_Ex_Wind,0.292268958
NW_Ext_Tx_Wind,0.30380914
Riverside_Palm_Springs_Solar,0.313321057
Sacramento_River_Solar,0.2794677
Sacramento_River_Wind,0.292268958
SCADSNV_Solar,0.310326234
SCADSNV_Wind,0.296951825
Solano_Solar,0.291857135
Solano_subzone_Solar,0.291857135
Solano_subzone_Wind,0.303547432
Solano_Wind,0.303547432
Southern_California_Desert_Ex_Solar,0.310326234
Southern_California_Desert_Ex_Wind,0.296951825
Southern_Nevada_Solar,0.313321057
Southern_Nevada_Wind,0.280991928
SW_Ext_Tx_Wind,0.361637509
Tehachapi_Ex_Solar,0.323071052
Tehachapi_Solar,0.323071052
Tehachapi_Wind,0.342981591
Westlands_Ex_Solar,0.3077911
Westlands_Ex_Wind,0.311273523
Westlands_Solar,0.3077911
Arizona_Solar,0.313321057
Arizona_Wind,0.299279136
Baja_California_Solar,0.310326234
Baja_California_Wind,0.362098877
Idaho_Wind,0.318189314
New_Mexico_Solar,0.304404465
New_Mexico_Wind,0.440473994
Utah_Solar,0.289479785
Utah_Wind,0.307885106
Wyoming_Wind,0.442494321
Pacific_Northwest_Wind,0.321238887
Diablo_Canyon_Offshore_Wind,0.459113002
Humboldt_Bay_Offshore_Wind,0.515445883
Morro_Bay_Offshore_Wind,0.554781332
Diablo_Canyon_Offshore_Wind_Ext_Tx,0.459113002
Cape_Mendocino_Offshore_Wind,0.52909614
Del_Norte_Offshore_Wind,0.516347042
