project,frequency_response_ba,contribute_to_partial
CAISO_CCGT1,CAISO,1
CAISO_CCGT2,CAISO,1
CAISO_Peaker1,CAISO,1
CAISO_Peaker2,CAISO,1
CAISO_Advanced_CCGT,CAISO,1
CAISO_Aero_CT,CAISO,1
CAISO_Reciprocating_Engine,CAISO,1
CAISO_ST,CAISO,1
CAISO_Existing_Pumped_Storage,CAISO,0
CAISO_New_Pumped_Storage,CAISO,0
CAISO_New_Flow_Battery,CAISO,1
CAISO_New_Flow_Battery_2,CAISO,1
CAISO_New_Flow_Battery_3,CAISO,1
CAISO_New_Li_Battery,CAISO,1
CAISO_New_Li_Battery_2,CAISO,1
CAISO_New_Li_Battery_3,CAISO,1
CAISO_Hydro,CAISO,0
