stage_id,timepoint,availability_derate
1,2020010101,1
1,2020010102,1
1,2020010103,1
1,2020010104,1
1,2020010105,1
1,2020010106,1
1,2020010107,1
1,2020010108,1
1,2020010109,1
1,2020010110,1
1,2020010111,1
1,2020010112,1
1,2020010113,1
1,2020010114,1
1,2020010115,1
1,2020010116,1
1,2020010117,1
1,2020010118,1
1,2020010119,1
1,2020010120,1
1,2020010121,1
1,2020010122,1
1,2020010123,1
1,2020010124,1
1,2020010201,0.95
1,2020010202,0.95
1,2020010203,0.95
1,2020010204,0.95
1,2020010205,0.95
1,2020010206,0.95
1,2020010207,0.95
1,2020010208,0.95
1,2020010209,0.95
1,2020010210,0.95
1,2020010211,0.95
1,2020010212,0.95
1,2020010213,0.95
1,2020010214,0.95
1,2020010215,0.95
1,2020010216,0.95
1,2020010217,0.95
1,2020010218,0.95
1,2020010219,0.95
1,2020010220,0.95
1,2020010221,0.95
1,2020010222,0.95
1,2020010223,0.95
1,2020010224,0.95
1,2020010301,1
1,2020010302,1
1,2020010303,1
1,2020010304,1
1,2020010305,1
1,2020010306,1
1,2020010307,1
1,2020010308,1
1,2020010309,1
1,2020010310,1
1,2020010311,1
1,2020010312,1
1,2020010313,1
1,2020010314,1
1,2020010315,1
1,2020010316,1
1,2020010317,1
1,2020010318,1
1,2020010319,1
1,2020010320,1
1,2020010321,1
1,2020010322,1
1,2020010323,1
1,2020010324,1
1,2020010401,0.95
1,2020010402,0.95
1,2020010403,0.95
1,2020010404,0.95
1,2020010405,0.95
1,2020010406,0.95
1,2020010407,0.95
1,2020010408,0.95
1,2020010409,0.95
1,2020010410,0.95
1,2020010411,0.95
1,2020010412,0.95
1,2020010413,0.95
1,2020010414,0.95
1,2020010415,0.95
1,2020010416,0.95
1,2020010417,0.95
1,2020010418,0.95
1,2020010419,0.95
1,2020010420,0.95
1,2020010421,0.95
1,2020010422,0.95
1,2020010423,0.95
1,2020010424,0.95
1,2020010501,1
1,2020010502,1
1,2020010503,1
1,2020010504,1
1,2020010505,1
1,2020010506,1
1,2020010507,1
1,2020010508,1
1,2020010509,1
1,2020010510,1
1,2020010511,1
1,2020010512,1
1,2020010513,1
1,2020010514,1
1,2020010515,1
1,2020010516,1
1,2020010517,1
1,2020010518,1
1,2020010519,1
1,2020010520,1
1,2020010521,1
1,2020010522,1
1,2020010523,1
1,2020010524,1
1,2020010601,0.95
1,2020010602,0.95
1,2020010603,0.95
1,2020010604,0.95
1,2020010605,0.95
1,2020010606,0.95
1,2020010607,0.95
1,2020010608,0.95
1,2020010609,0.95
1,2020010610,0.95
1,2020010611,0.95
1,2020010612,0.95
1,2020010613,0.95
1,2020010614,0.95
1,2020010615,0.95
1,2020010616,0.95
1,2020010617,0.95
1,2020010618,0.95
1,2020010619,0.95
1,2020010620,0.95
1,2020010621,0.95
1,2020010622,0.95
1,2020010623,0.95
1,2020010624,0.95
1,2020010701,1
1,2020010702,1
1,2020010703,1
1,2020010704,1
1,2020010705,1
1,2020010706,1
1,2020010707,1
1,2020010708,1
1,2020010709,1
1,2020010710,1
1,2020010711,1
1,2020010712,1
1,2020010713,1
1,2020010714,1
1,2020010715,1
1,2020010716,1
1,2020010717,1
1,2020010718,1
1,2020010719,1
1,2020010720,1
1,2020010721,1
1,2020010722,1
1,2020010723,1
1,2020010724,1
1,2020010801,0.95
1,2020010802,0.95
1,2020010803,0.95
1,2020010804,0.95
1,2020010805,0.95
1,2020010806,0.95
1,2020010807,0.95
1,2020010808,0.95
1,2020010809,0.95
1,2020010810,0.95
1,2020010811,0.95
1,2020010812,0.95
1,2020010813,0.95
1,2020010814,0.95
1,2020010815,0.95
1,2020010816,0.95
1,2020010817,0.95
1,2020010818,0.95
1,2020010819,0.95
1,2020010820,0.95
1,2020010821,0.95
1,2020010822,0.95
1,2020010823,0.95
1,2020010824,0.95
1,2020010901,1
1,2020010902,1
1,2020010903,1
1,2020010904,1
1,2020010905,1
1,2020010906,1
1,2020010907,1
1,2020010908,1
1,2020010909,1
1,2020010910,1
1,2020010911,1
1,2020010912,1
1,2020010913,1
1,2020010914,1
1,2020010915,1
1,2020010916,1
1,2020010917,1
1,2020010918,1
1,2020010919,1
1,2020010920,1
1,2020010921,1
1,2020010922,1
1,2020010923,1
1,2020010924,1
1,2020011001,0.95
1,2020011002,0.95
1,2020011003,0.95
1,2020011004,0.95
1,2020011005,0.95
1,2020011006,0.95
1,2020011007,0.95
1,2020011008,0.95
1,2020011009,0.95
1,2020011010,0.95
1,2020011011,0.95
1,2020011012,0.95
1,2020011013,0.95
1,2020011014,0.95
1,2020011015,0.95
1,2020011016,0.95
1,2020011017,0.95
1,2020011018,0.95
1,2020011019,0.95
1,2020011020,0.95
1,2020011021,0.95
1,2020011022,0.95
1,2020011023,0.95
1,2020011024,0.95
1,2020011101,1
1,2020011102,1
1,2020011103,1
1,2020011104,1
1,2020011105,1
1,2020011106,1
1,2020011107,1
1,2020011108,1
1,2020011109,1
1,2020011110,1
1,2020011111,1
1,2020011112,1
1,2020011113,1
1,2020011114,1
1,2020011115,1
1,2020011116,1
1,2020011117,1
1,2020011118,1
1,2020011119,1
1,2020011120,1
1,2020011121,1
1,2020011122,1
1,2020011123,1
1,2020011124,1
1,2020011201,0.95
1,2020011202,0.95
1,2020011203,0.95
1,2020011204,0.95
1,2020011205,0.95
1,2020011206,0.95
1,2020011207,0.95
1,2020011208,0.95
1,2020011209,0.95
1,2020011210,0.95
1,2020011211,0.95
1,2020011212,0.95
1,2020011213,0.95
1,2020011214,0.95
1,2020011215,0.95
1,2020011216,0.95
1,2020011217,0.95
1,2020011218,0.95
1,2020011219,0.95
1,2020011220,0.95
1,2020011221,0.95
1,2020011222,0.95
1,2020011223,0.95
1,2020011224,0.95
1,2020011301,1
1,2020011302,1
1,2020011303,1
1,2020011304,1
1,2020011305,1
1,2020011306,1
1,2020011307,1
1,2020011308,1
1,2020011309,1
1,2020011310,1
1,2020011311,1
1,2020011312,1
1,2020011313,1
1,2020011314,1
1,2020011315,1
1,2020011316,1
1,2020011317,1
1,2020011318,1
1,2020011319,1
1,2020011320,1
1,2020011321,1
1,2020011322,1
1,2020011323,1
1,2020011324,1
1,2020011401,0.95
1,2020011402,0.95
1,2020011403,0.95
1,2020011404,0.95
1,2020011405,0.95
1,2020011406,0.95
1,2020011407,0.95
1,2020011408,0.95
1,2020011409,0.95
1,2020011410,0.95
1,2020011411,0.95
1,2020011412,0.95
1,2020011413,0.95
1,2020011414,0.95
1,2020011415,0.95
1,2020011416,0.95
1,2020011417,0.95
1,2020011418,0.95
1,2020011419,0.95
1,2020011420,0.95
1,2020011421,0.95
1,2020011422,0.95
1,2020011423,0.95
1,2020011424,0.95
1,2020011501,1
1,2020011502,1
1,2020011503,1
1,2020011504,1
1,2020011505,1
1,2020011506,1
1,2020011507,1
1,2020011508,1
1,2020011509,1
1,2020011510,1
1,2020011511,1
1,2020011512,1
1,2020011513,1
1,2020011514,1
1,2020011515,1
1,2020011516,1
1,2020011517,1
1,2020011518,1
1,2020011519,1
1,2020011520,1
1,2020011521,1
1,2020011522,1
1,2020011523,1
1,2020011524,1
1,2020011601,0.95
1,2020011602,0.95
1,2020011603,0.95
1,2020011604,0.95
1,2020011605,0.95
1,2020011606,0.95
1,2020011607,0.95
1,2020011608,0.95
1,2020011609,0.95
1,2020011610,0.95
1,2020011611,0.95
1,2020011612,0.95
1,2020011613,0.95
1,2020011614,0.95
1,2020011615,0.95
1,2020011616,0.95
1,2020011617,0.95
1,2020011618,0.95
1,2020011619,0.95
1,2020011620,0.95
1,2020011621,0.95
1,2020011622,0.95
1,2020011623,0.95
1,2020011624,0.95
1,2020011701,1
1,2020011702,1
1,2020011703,1
1,2020011704,1
1,2020011705,1
1,2020011706,1
1,2020011707,1
1,2020011708,1
1,2020011709,1
1,2020011710,1
1,2020011711,1
1,2020011712,1
1,2020011713,1
1,2020011714,1
1,2020011715,1
1,2020011716,1
1,2020011717,1
1,2020011718,1
1,2020011719,1
1,2020011720,1
1,2020011721,1
1,2020011722,1
1,2020011723,1
1,2020011724,1
1,2020011801,0.95
1,2020011802,0.95
1,2020011803,0.95
1,2020011804,0.95
1,2020011805,0.95
1,2020011806,0.95
1,2020011807,0.95
1,2020011808,0.95
1,2020011809,0.95
1,2020011810,0.95
1,2020011811,0.95
1,2020011812,0.95
1,2020011813,0.95
1,2020011814,0.95
1,2020011815,0.95
1,2020011816,0.95
1,2020011817,0.95
1,2020011818,0.95
1,2020011819,0.95
1,2020011820,0.95
1,2020011821,0.95
1,2020011822,0.95
1,2020011823,0.95
1,2020011824,0.95
1,2020011901,1
1,2020011902,1
1,2020011903,1
1,2020011904,1
1,2020011905,1
1,2020011906,1
1,2020011907,1
1,2020011908,1
1,2020011909,1
1,2020011910,1
1,2020011911,1
1,2020011912,1
1,2020011913,1
1,2020011914,1
1,2020011915,1
1,2020011916,1
1,2020011917,1
1,2020011918,1
1,2020011919,1
1,2020011920,1
1,2020011921,1
1,2020011922,1
1,2020011923,1
1,2020011924,1
1,2020012001,0.95
1,2020012002,0.95
1,2020012003,0.95
1,2020012004,0.95
1,2020012005,0.95
1,2020012006,0.95
1,2020012007,0.95
1,2020012008,0.95
1,2020012009,0.95
1,2020012010,0.95
1,2020012011,0.95
1,2020012012,0.95
1,2020012013,0.95
1,2020012014,0.95
1,2020012015,0.95
1,2020012016,0.95
1,2020012017,0.95
1,2020012018,0.95
1,2020012019,0.95
1,2020012020,0.95
1,2020012021,0.95
1,2020012022,0.95
1,2020012023,0.95
1,2020012024,0.95
1,2020012101,1
1,2020012102,1
1,2020012103,1
1,2020012104,1
1,2020012105,1
1,2020012106,1
1,2020012107,1
1,2020012108,1
1,2020012109,1
1,2020012110,1
1,2020012111,1
1,2020012112,1
1,2020012113,1
1,2020012114,1
1,2020012115,1
1,2020012116,1
1,2020012117,1
1,2020012118,1
