project,variable_generator_profile_scenario_id,stage_id,timepoint,cap_factor
Wind_z1,1,1,2020010101,0.6086
Wind_z1,1,1,2020010102,0.517
Wind_z1,1,1,2020010103,0.517
Wind_z1,1,1,2020010104,0.517
Wind_z1,1,1,2020010105,0.517
Wind_z1,1,1,2020010106,0.6086
Wind_z1,1,1,2020010107,0.6086
Wind_z1,1,1,2020010108,0.6086
Wind_z1,1,1,2020010109,0.6086
Wind_z1,1,1,2020010110,0.4263
Wind_z1,1,1,2020010111,0.2724
Wind_z1,1,1,2020010112,0.3445
Wind_z1,1,1,2020010113,0.517
Wind_z1,1,1,2020010114,0.4263
Wind_z1,1,1,2020010115,0.3445
Wind_z1,1,1,2020010116,0.4263
Wind_z1,1,1,2020010117,0.517
Wind_z1,1,1,2020010118,0.517
Wind_z1,1,1,2020010119,0.517
Wind_z1,1,1,2020010120,0.7002
Wind_z1,1,1,2020010121,0.7801
Wind_z1,1,1,2020010122,0.7801
Wind_z1,1,1,2020010123,0.7801
Wind_z1,1,1,2020010124,0.7002
Wind_z1,1,1,2020010201,0.7002
Wind_z1,1,1,2020010202,0.6086
Wind_z1,1,1,2020010203,0.517
Wind_z1,1,1,2020010204,0.517
Wind_z1,1,1,2020010205,0.517
Wind_z1,1,1,2020010206,0.4263
Wind_z1,1,1,2020010207,0.4263
Wind_z1,1,1,2020010208,0.4263
Wind_z1,1,1,2020010209,0.4263
Wind_z1,1,1,2020010210,0.2724
Wind_z1,1,1,2020010211,0.1543
Wind_z1,1,1,2020010212,0.1543
Wind_z1,1,1,2020010213,0.1073
Wind_z1,1,1,2020010214,0.0686
Wind_z1,1,1,2020010215,0.0382
Wind_z1,1,1,2020010216,0.0162
Wind_z1,1,1,2020010217,0.0382
Wind_z1,1,1,2020010218,0.0686
Wind_z1,1,1,2020010219,0.1543
Wind_z1,1,1,2020010220,0.2724
Wind_z1,1,1,2020010221,0.4263
Wind_z1,1,1,2020010222,0.517
Wind_z1,1,1,2020010223,0.517
Wind_z1,1,1,2020010224,0.517
Wind_z1,1,1,2025010101,0.6086
Wind_z1,1,1,2025010102,0.517
Wind_z1,1,1,2025010103,0.517
Wind_z1,1,1,2025010104,0.517
Wind_z1,1,1,2025010105,0.517
Wind_z1,1,1,2025010106,0.6086
Wind_z1,1,1,2025010107,0.6086
Wind_z1,1,1,2025010108,0.6086
Wind_z1,1,1,2025010109,0.6086
Wind_z1,1,1,2025010110,0.4263
Wind_z1,1,1,2025010111,0.2724
Wind_z1,1,1,2025010112,0.3445
Wind_z1,1,1,2025010113,0.517
Wind_z1,1,1,2025010114,0.4263
Wind_z1,1,1,2025010115,0.3445
Wind_z1,1,1,2025010116,0.4263
Wind_z1,1,1,2025010117,0.517
Wind_z1,1,1,2025010118,0.517
Wind_z1,1,1,2025010119,0.517
Wind_z1,1,1,2025010120,0.7002
Wind_z1,1,1,2025010121,0.7801
Wind_z1,1,1,2025010122,0.7801
Wind_z1,1,1,2025010123,0.7801
Wind_z1,1,1,2025010124,0.7002
Wind_z1,1,1,2025010201,0.7002
Wind_z1,1,1,2025010202,0.6086
Wind_z1,1,1,2025010203,0.517
Wind_z1,1,1,2025010204,0.517
Wind_z1,1,1,2025010205,0.517
Wind_z1,1,1,2025010206,0.4263
Wind_z1,1,1,2025010207,0.4263
Wind_z1,1,1,2025010208,0.4263
Wind_z1,1,1,2025010209,0.4263
Wind_z1,1,1,2025010210,0.2724
Wind_z1,1,1,2025010211,0.1543
Wind_z1,1,1,2025010212,0.1543
Wind_z1,1,1,2025010213,0.1073
Wind_z1,1,1,2025010214,0.0686
Wind_z1,1,1,2025010215,0.0382
Wind_z1,1,1,2025010216,0.0162
Wind_z1,1,1,2025010217,0.0382
Wind_z1,1,1,2025010218,0.0686
Wind_z1,1,1,2025010219,0.1543
Wind_z1,1,1,2025010220,0.2724
Wind_z1,1,1,2025010221,0.4263
Wind_z1,1,1,2025010222,0.517
Wind_z1,1,1,2025010223,0.517
Wind_z1,1,1,2025010224,0.517
