subproblem_id,balancing_type_horizon,horizon,boundary
1,day,20200101,circular
1,day,20200201,circular
1,day,20200301,circular
1,day,20200401,circular
1,day,20200501,circular
1,day,20200601,circular
1,day,20200701,circular
1,day,20200801,circular
1,day,20200901,circular
1,day,20201001,circular
1,day,20201101,circular
1,day,20201201,circular
1,day,20250101,circular
1,day,20250201,circular
1,day,20250301,circular
1,day,20250401,circular
1,day,20250501,circular
1,day,20250601,circular
1,day,20250701,circular
1,day,20250801,circular
1,day,20250901,circular
1,day,20251001,circular
1,day,20251101,circular
1,day,20251201,circular
