subproblem_id,balancing_type_horizon,horizon,boundary
1,day,20200101,circular
2,day,20200102,circular
3,day,20200103,circular
4,day,20200104,circular
5,day,20200105,circular
6,day,20200106,circular
7,day,20200107,circular
8,day,20200108,circular
9,day,20200109,circular
10,day,20200110,circular
11,day,20200111,circular
12,day,20200112,circular
13,day,20200113,circular
14,day,20200114,circular
15,day,20200115,circular
16,day,20200116,circular
17,day,20200117,circular
18,day,20200118,circular
19,day,20200119,circular
20,day,20200120,circular
21,day,20200121,circular
22,day,20200122,circular
23,day,20200123,circular
24,day,20200124,circular
25,day,20200125,circular
26,day,20200126,circular
27,day,20200127,circular
28,day,20200128,circular
29,day,20200129,circular
30,day,20200130,circular
31,day,20200131,circular
32,day,20200201,circular
33,day,20200202,circular
34,day,20200203,circular
35,day,20200204,circular
36,day,20200205,circular
37,day,20200206,circular
38,day,20200207,circular
39,day,20200208,circular
40,day,20200209,circular
41,day,20200210,circular
42,day,20200211,circular
43,day,20200212,circular
44,day,20200213,circular
45,day,20200214,circular
46,day,20200215,circular
47,day,20200216,circular
48,day,20200217,circular
49,day,20200218,circular
50,day,20200219,circular
51,day,20200220,circular
52,day,20200221,circular
53,day,20200222,circular
54,day,20200223,circular
55,day,20200224,circular
56,day,20200225,circular
57,day,20200226,circular
58,day,20200227,circular
59,day,20200228,circular
60,day,20200229,circular
61,day,20200301,circular
62,day,20200302,circular
63,day,20200303,circular
64,day,20200304,circular
65,day,20200305,circular
66,day,20200306,circular
67,day,20200307,circular
68,day,20200308,circular
69,day,20200309,circular
70,day,20200310,circular
71,day,20200311,circular
72,day,20200312,circular
73,day,20200313,circular
74,day,20200314,circular
75,day,20200315,circular
76,day,20200316,circular
77,day,20200317,circular
78,day,20200318,circular
79,day,20200319,circular
80,day,20200320,circular
81,day,20200321,circular
82,day,20200322,circular
83,day,20200323,circular
84,day,20200324,circular
85,day,20200325,circular
86,day,20200326,circular
87,day,20200327,circular
88,day,20200328,circular
89,day,20200329,circular
90,day,20200330,circular
91,day,20200331,circular
92,day,20200401,circular
93,day,20200402,circular
94,day,20200403,circular
95,day,20200404,circular
96,day,20200405,circular
97,day,20200406,circular
98,day,20200407,circular
99,day,20200408,circular
100,day,20200409,circular
101,day,20200410,circular
102,day,20200411,circular
103,day,20200412,circular
104,day,20200413,circular
105,day,20200414,circular
106,day,20200415,circular
107,day,20200416,circular
108,day,20200417,circular
109,day,20200418,circular
110,day,20200419,circular
111,day,20200420,circular
112,day,20200421,circular
113,day,20200422,circular
114,day,20200423,circular
115,day,20200424,circular
116,day,20200425,circular
117,day,20200426,circular
118,day,20200427,circular
119,day,20200428,circular
120,day,20200429,circular
121,day,20200430,circular
122,day,20200501,circular
123,day,20200502,circular
124,day,20200503,circular
125,day,20200504,circular
126,day,20200505,circular
127,day,20200506,circular
128,day,20200507,circular
129,day,20200508,circular
130,day,20200509,circular
131,day,20200510,circular
132,day,20200511,circular
133,day,20200512,circular
134,day,20200513,circular
135,day,20200514,circular
136,day,20200515,circular
137,day,20200516,circular
138,day,20200517,circular
139,day,20200518,circular
140,day,20200519,circular
141,day,20200520,circular
142,day,20200521,circular
143,day,20200522,circular
144,day,20200523,circular
145,day,20200524,circular
146,day,20200525,circular
147,day,20200526,circular
148,day,20200527,circular
149,day,20200528,circular
150,day,20200529,circular
151,day,20200530,circular
152,day,20200531,circular
153,day,20200601,circular
154,day,20200602,circular
155,day,20200603,circular
156,day,20200604,circular
157,day,20200605,circular
158,day,20200606,circular
159,day,20200607,circular
160,day,20200608,circular
161,day,20200609,circular
