subproblem_id,balancing_type_horizon,horizon,boundary
1,day,20200101,linear
1,day,20200102,linear
1,day,20200103,linear
1,day,20200104,linear
1,day,20200105,linear
1,day,20200106,linear
1,day,20200107,linear
1,day,20200108,linear
1,day,20200109,linear
1,day,20200110,linear
1,day,20200111,linear
1,day,20200112,linear
1,day,20200113,linear
1,day,20200114,linear
1,day,20200115,linear
1,day,20200116,linear
1,day,20200117,linear
1,day,20200118,linear
1,day,20200119,linear
1,day,20200120,linear
1,day,20200121,linear
1,day,20200122,linear
1,day,20200123,linear
1,day,20200124,linear
1,day,20200125,linear
1,day,20200126,linear
1,day,20200127,linear
1,day,20200128,linear
1,day,20200129,linear
1,day,20200130,linear
1,day,20200131,linear
1,day,20200201,linear
1,day,20200202,linear
1,day,20200203,linear
1,day,20200204,linear
1,day,20200205,linear
1,day,20200206,linear
1,day,20200207,linear
1,day,20200208,linear
1,day,20200209,linear
1,day,20200210,linear
1,day,20200211,linear
1,day,20200212,linear
1,day,20200213,linear
1,day,20200214,linear
1,day,20200215,linear
1,day,20200216,linear
1,day,20200217,linear
1,day,20200218,linear
1,day,20200219,linear
1,day,20200220,linear
1,day,20200221,linear
1,day,20200222,linear
1,day,20200223,linear
1,day,20200224,linear
1,day,20200225,linear
1,day,20200226,linear
1,day,20200227,linear
1,day,20200228,linear
1,day,20200229,linear
1,day,20200301,linear
1,day,20200302,linear
1,day,20200303,linear
1,day,20200304,linear
1,day,20200305,linear
1,day,20200306,linear
1,day,20200307,linear
1,day,20200308,linear
1,day,20200309,linear
1,day,20200310,linear
1,day,20200311,linear
1,day,20200312,linear
1,day,20200313,linear
1,day,20200314,linear
1,day,20200315,linear
1,day,20200316,linear
1,day,20200317,linear
1,day,20200318,linear
1,day,20200319,linear
1,day,20200320,linear
1,day,20200321,linear
1,day,20200322,linear
1,day,20200323,linear
1,day,20200324,linear
1,day,20200325,linear
1,day,20200326,linear
1,day,20200327,linear
1,day,20200328,linear
1,day,20200329,linear
1,day,20200330,linear
1,day,20200331,linear
1,day,20200401,linear
1,day,20200402,linear
1,day,20200403,linear
1,day,20200404,linear
1,day,20200405,linear
1,day,20200406,linear
1,day,20200407,linear
1,day,20200408,linear
1,day,20200409,linear
1,day,20200410,linear
1,day,20200411,linear
1,day,20200412,linear
1,day,20200413,linear
1,day,20200414,linear
1,day,20200415,linear
1,day,20200416,linear
1,day,20200417,linear
1,day,20200418,linear
1,day,20200419,linear
1,day,20200420,linear
1,day,20200421,linear
1,day,20200422,linear
1,day,20200423,linear
1,day,20200424,linear
1,day,20200425,linear
1,day,20200426,linear
1,day,20200427,linear
1,day,20200428,linear
1,day,20200429,linear
1,day,20200430,linear
1,day,20200501,linear
1,day,20200502,linear
1,day,20200503,linear
1,day,20200504,linear
1,day,20200505,linear
1,day,20200506,linear
1,day,20200507,linear
1,day,20200508,linear
1,day,20200509,linear
1,day,20200510,linear
1,day,20200511,linear
1,day,20200512,linear
1,day,20200513,linear
1,day,20200514,linear
1,day,20200515,linear
1,day,20200516,linear
1,day,20200517,linear
1,day,20200518,linear
1,day,20200519,linear
1,day,20200520,linear
1,day,20200521,linear
1,day,20200522,linear
1,day,20200523,linear
1,day,20200524,linear
1,day,20200525,linear
1,day,20200526,linear
1,day,20200527,linear
1,day,20200528,linear
1,day,20200529,linear
1,day,20200530,linear
1,day,20200531,linear
1,day,20200601,linear
1,day,20200602,linear
1,day,20200603,linear
1,day,20200604,linear
1,day,20200605,linear
1,day,20200606,linear
1,day,20200607,linear
1,day,20200608,linear
1,day,20200609,linear
1,day,20200610,linear
1,day,20200611,linear
1,day,20200612,linear
1,day,20200613,linear
1,day,20200614,linear
1,day,20200615,linear
1,day,20200616,linear
1,day,20200617,linear
1,day,20200618,linear
1,day,20200619,linear
1,day,20200620,linear
1,day,20200621,linear
1,day,20200622,linear
1,day,20200623,linear
1,day,20200624,linear
1,day,20200625,linear
1,day,20200626,linear
1,day,20200627,linear
1,day,20200628,linear
1,day,20200629,linear
1,day,20200630,linear
1,day,20200701,linear
1,day,20200702,linear
1,day,20200703,linear
1,day,20200704,linear
1,day,20200705,linear
1,day,20200706,linear
1,day,20200707,linear
1,day,20200708,linear
1,day,20200709,linear
1,day,20200710,linear
1,day,20200711,linear
1,day,20200712,linear
1,day,20200713,linear
1,day,20200714,linear
1,day,20200715,linear
1,day,20200716,linear
1,day,20200717,linear
1,day,20200718,linear
1,day,20200719,linear
1,day,20200720,linear
1,day,20200721,linear
1,day,20200722,linear
1,day,20200723,linear
1,day,20200724,linear
1,day,20200725,linear
1,day,20200726,linear
1,day,20200727,linear
1,day,20200728,linear
1,day,20200729,linear
1,day,20200730,linear
1,day,20200731,linear
1,day,20200801,linear
1,day,20200802,linear
1,day,20200803,linear
1,day,20200804,linear
1,day,20200805,linear
1,day,20200806,linear
1,day,20200807,linear
1,day,20200808,linear
1,day,20200809,linear
1,day,20200810,linear
1,day,20200811,linear
1,day,20200812,linear
1,day,20200813,linear
1,day,20200814,linear
1,day,20200815,linear
1,day,20200816,linear
1,day,20200817,linear
1,day,20200818,linear
1,day,20200819,linear
1,day,20200820,linear
1,day,20200821,linear
1,day,20200822,linear
1,day,20200823,linear
1,day,20200824,linear
1,day,20200825,linear
1,day,20200826,linear
1,day,20200827,linear
1,day,20200828,linear
1,day,20200829,linear
1,day,20200830,linear
1,day,20200831,linear
1,day,20200901,linear
1,day,20200902,linear
1,day,20200903,linear
1,day,20200904,linear
1,day,20200905,linear
1,day,20200906,linear
1,day,20200907,linear
1,day,20200908,linear
1,day,20200909,linear
1,day,20200910,linear
1,day,20200911,linear
1,day,20200912,linear
1,day,20200913,linear
1,day,20200914,linear
1,day,20200915,linear
1,day,20200916,linear
1,day,20200917,linear
1,day,20200918,linear
1,day,20200919,linear
1,day,20200920,linear
1,day,20200921,linear
1,day,20200922,linear
1,day,20200923,linear
1,day,20200924,linear
1,day,20200925,linear
1,day,20200926,linear
1,day,20200927,linear
1,day,20200928,linear
1,day,20200929,linear
1,day,20200930,linear
1,day,20201001,linear
1,day,20201002,linear
1,day,20201003,linear
1,day,20201004,linear
1,day,20201005,linear
1,day,20201006,linear
1,day,20201007,linear
1,day,20201008,linear
1,day,20201009,linear
1,day,20201010,linear
1,day,20201011,linear
1,day,20201012,linear
1,day,20201013,linear
1,day,20201014,linear
1,day,20201015,linear
1,day,20201016,linear
1,day,20201017,linear
1,day,20201018,linear
1,day,20201019,linear
1,day,20201020,linear
1,day,20201021,linear
1,day,20201022,linear
1,day,20201023,linear
1,day,20201024,linear
1,day,20201025,linear
1,day,20201026,linear
1,day,20201027,linear
1,day,20201028,linear
1,day,20201029,linear
1,day,20201030,linear
1,day,20201031,linear
1,day,20201101,linear
1,day,20201102,linear
1,day,20201103,linear
1,day,20201104,linear
1,day,20201105,linear
1,day,20201106,linear
1,day,20201107,linear
1,day,20201108,linear
1,day,20201109,linear
1,day,20201110,linear
1,day,20201111,linear
1,day,20201112,linear
