subproblem_id,balancing_type_horizon,horizon,boundary
1,day,20200101,circular
1,day,20200102,circular
1,day,20200103,circular
1,day,20200104,circular
1,day,20200105,circular
1,day,20200106,circular
1,day,20200107,circular
1,day,20200108,circular
1,day,20200109,circular
1,day,20200110,circular
1,day,20200111,circular
1,day,20200112,circular
1,day,20200113,circular
1,day,20200114,circular
1,day,20200115,circular
1,day,20200116,circular
1,day,20200117,circular
1,day,20200118,circular
1,day,20200119,circular
1,day,20200120,circular
1,day,20200121,circular
1,day,20200122,circular
1,day,20200123,circular
1,day,20200124,circular
1,day,20200125,circular
1,day,20200126,circular
1,day,20200127,circular
1,day,20200128,circular
1,day,20200129,circular
1,day,20200130,circular
1,day,20200131,circular
1,day,20200201,circular
1,day,20200202,circular
1,day,20200203,circular
1,day,20200204,circular
1,day,20200205,circular
1,day,20200206,circular
1,day,20200207,circular
1,day,20200208,circular
1,day,20200209,circular
1,day,20200210,circular
1,day,20200211,circular
1,day,20200212,circular
1,day,20200213,circular
1,day,20200214,circular
1,day,20200215,circular
1,day,20200216,circular
1,day,20200217,circular
1,day,20200218,circular
1,day,20200219,circular
1,day,20200220,circular
1,day,20200221,circular
1,day,20200222,circular
1,day,20200223,circular
1,day,20200224,circular
1,day,20200225,circular
1,day,20200226,circular
1,day,20200227,circular
1,day,20200228,circular
1,day,20200229,circular
1,day,20200301,circular
1,day,20200302,circular
1,day,20200303,circular
1,day,20200304,circular
1,day,20200305,circular
1,day,20200306,circular
1,day,20200307,circular
1,day,20200308,circular
1,day,20200309,circular
1,day,20200310,circular
1,day,20200311,circular
1,day,20200312,circular
1,day,20200313,circular
1,day,20200314,circular
1,day,20200315,circular
1,day,20200316,circular
1,day,20200317,circular
1,day,20200318,circular
1,day,20200319,circular
1,day,20200320,circular
1,day,20200321,circular
1,day,20200322,circular
1,day,20200323,circular
1,day,20200324,circular
1,day,20200325,circular
1,day,20200326,circular
1,day,20200327,circular
1,day,20200328,circular
1,day,20200329,circular
1,day,20200330,circular
1,day,20200331,circular
1,day,20200401,circular
1,day,20200402,circular
1,day,20200403,circular
1,day,20200404,circular
1,day,20200405,circular
1,day,20200406,circular
1,day,20200407,circular
1,day,20200408,circular
1,day,20200409,circular
1,day,20200410,circular
1,day,20200411,circular
1,day,20200412,circular
1,day,20200413,circular
1,day,20200414,circular
1,day,20200415,circular
1,day,20200416,circular
1,day,20200417,circular
1,day,20200418,circular
1,day,20200419,circular
1,day,20200420,circular
1,day,20200421,circular
1,day,20200422,circular
1,day,20200423,circular
1,day,20200424,circular
1,day,20200425,circular
1,day,20200426,circular
1,day,20200427,circular
1,day,20200428,circular
1,day,20200429,circular
1,day,20200430,circular
1,day,20200501,circular
1,day,20200502,circular
1,day,20200503,circular
1,day,20200504,circular
1,day,20200505,circular
1,day,20200506,circular
1,day,20200507,circular
1,day,20200508,circular
1,day,20200509,circular
1,day,20200510,circular
1,day,20200511,circular
1,day,20200512,circular
1,day,20200513,circular
1,day,20200514,circular
1,day,20200515,circular
1,day,20200516,circular
1,day,20200517,circular
1,day,20200518,circular
1,day,20200519,circular
1,day,20200520,circular
