subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,timestamp,horizon_day
1,1,2020010121,2020,1,1,,1,1,21,1/1/20 20:00,20200102
1,1,2020010122,2020,1,1,,1,1,22,1/1/20 21:00,20200102
1,1,2020010123,2020,1,1,,1,1,23,1/1/20 22:00,20200102
1,1,2020010124,2020,1,1,,1,1,24,1/1/20 23:00,20200102
1,1,2020010201,2020,1,1,,1,1,1,1/2/20 0:00,20200102
1,1,2020010202,2020,1,1,,,1,2,1/2/20 1:00,20200102
1,1,2020010203,2020,1,1,,,1,3,1/2/20 2:00,20200102
1,1,2020010204,2020,1,1,,,1,4,1/2/20 3:00,20200102
1,1,2020010205,2020,1,1,,,1,5,1/2/20 4:00,20200102
1,1,2020010206,2020,1,1,,,1,6,1/2/20 5:00,20200102
1,1,2020010207,2020,1,1,,,1,7,1/2/20 6:00,20200102
1,1,2020010208,2020,1,1,,,1,8,1/2/20 7:00,20200102
1,1,2020010209,2020,1,1,,,1,9,1/2/20 8:00,20200102
1,1,2020010210,2020,1,1,,,1,10,1/2/20 9:00,20200102
1,1,2020010211,2020,1,1,,,1,11,1/2/20 10:00,20200102
1,1,2020010212,2020,1,1,,,1,12,1/2/20 11:00,20200102
1,1,2020010213,2020,1,1,,,1,13,1/2/20 12:00,20200102
1,1,2020010214,2020,1,1,,,1,14,1/2/20 13:00,20200102
1,1,2020010215,2020,1,1,,,1,15,1/2/20 14:00,20200102
1,1,2020010216,2020,1,1,,,1,16,1/2/20 15:00,20200102
1,1,2020010217,2020,1,1,,,1,17,1/2/20 16:00,20200102
1,1,2020010218,2020,1,1,,,1,18,1/2/20 17:00,20200102
1,1,2020010219,2020,1,1,,,1,19,1/2/20 18:00,20200102
1,1,2020010220,2020,1,1,,,1,20,1/2/20 19:00,20200102
1,1,2020010221,2020,1,1,,,1,21,1/2/20 20:00,20200102
1,1,2020010222,2020,1,1,,,1,22,1/2/20 21:00,20200102
1,1,2020010223,2020,1,1,,,1,23,1/2/20 22:00,20200102
1,1,2020010224,2020,1,1,,,1,24,1/2/20 23:00,20200102
