load_zone,stage_id,timepoint,load_mw,,,,
Zone1,1,2020010101,766.1876055,,,,
Zone1,1,2020010102,749.4394222,,,,
Zone1,1,2020010103,743.7164376,,,,
Zone1,1,2020010104,752.2233408,,,,
Zone1,1,2020010105,763.1718773,,,,
Zone1,1,2020010106,781.5025027,,,,
Zone1,1,2020010107,806.0962182,,,,
Zone1,1,2020010108,830.2899066,,,,
Zone1,1,2020010109,848.2762621,,,,
Zone1,1,2020010110,861.2335949,,,,
Zone1,1,2020010111,860.5612674,,,,
Zone1,1,2020010112,850.720504,,,,
Zone1,1,2020010113,837.004391,,,,
Zone1,1,2020010114,824.9706454,,,,
Zone1,1,2020010115,813.5932077,,,,
Zone1,1,2020010116,804.5973037,,,,
Zone1,1,2020010117,806.1646365,,,,
Zone1,1,2020010118,812.6208061,,,,
Zone1,1,2020010119,816.269249,,,,
Zone1,1,2020010120,817.9393749,,,,
Zone1,1,2020010121,812.8586015,,,,
Zone1,1,2020010122,794.1816064,,,,
Zone1,1,2020010123,770.4764354,,,,
Zone1,1,2020010124,751.2427694,,,,
Zone1,1,2020010201,766.1876055,,,,
Zone1,1,2020010202,749.4394222,,,,
Zone1,1,2020010203,743.7164376,,,,
Zone1,1,2020010204,752.2233408,,,,
Zone1,1,2020010205,763.1718773,,,,
Zone1,1,2020010206,781.5025027,,,,
Zone1,1,2020010207,806.0962182,,,,
Zone1,1,2020010208,830.2899066,,,,
Zone1,1,2020010209,848.2762621,,,,
Zone1,1,2020010210,861.2335949,,,,
Zone1,1,2020010211,860.5612674,,,,
Zone1,1,2020010212,850.720504,,,,
Zone1,1,2020010213,837.004391,,,,
Zone1,1,2020010214,824.9706454,,,,
Zone1,1,2020010215,813.5932077,,,,
Zone1,1,2020010216,804.5973037,,,,
Zone1,1,2020010217,806.1646365,,,,
Zone1,1,2020010218,812.6208061,,,,
Zone1,1,2020010219,816.269249,,,,
Zone1,1,2020010220,817.9393749,,,,
Zone1,1,2020010221,812.8586015,,,,
Zone1,1,2020010222,794.1816064,,,,
Zone1,1,2020010223,770.4764354,,,,
Zone1,1,2020010224,751.2427694,,,,
Zone1,1,2020010301,766.1876055,,,,
Zone1,1,2020010302,749.4394222,,,,
Zone1,1,2020010303,743.7164376,,,,
Zone1,1,2020010304,752.2233408,,,,
Zone1,1,2020010305,763.1718773,,,,
Zone1,1,2020010306,781.5025027,,,,
Zone1,1,2020010307,806.0962182,,,,
Zone1,1,2020010308,830.2899066,,,,
Zone1,1,2020010309,848.2762621,,,,
Zone1,1,2020010310,861.2335949,,,,
Zone1,1,2020010311,860.5612674,,,,
Zone1,1,2020010312,850.720504,,,,
Zone1,1,2020010313,837.004391,,,,
Zone1,1,2020010314,824.9706454,,,,
Zone1,1,2020010315,813.5932077,,,,
Zone1,1,2020010316,804.5973037,,,,
Zone1,1,2020010317,806.1646365,,,,
Zone1,1,2020010318,812.6208061,,,,
Zone1,1,2020010319,816.269249,,,,
Zone1,1,2020010320,817.9393749,,,,
Zone1,1,2020010321,812.8586015,,,,
Zone1,1,2020010322,794.1816064,,,,
Zone1,1,2020010323,770.4764354,,,,
Zone1,1,2020010324,751.2427694,,,,
Zone1,1,2020010401,766.1876055,,,,
Zone1,1,2020010402,749.4394222,,,,
Zone1,1,2020010403,743.7164376,,,,
Zone1,1,2020010404,752.2233408,,,,
Zone1,1,2020010405,763.1718773,,,,
Zone1,1,2020010406,781.5025027,,,,
Zone1,1,2020010407,806.0962182,,,,
Zone1,1,2020010408,830.2899066,,,,
Zone1,1,2020010409,848.2762621,,,,
Zone1,1,2020010410,861.2335949,,,,
Zone1,1,2020010411,860.5612674,,,,
Zone1,1,2020010412,850.720504,,,,
Zone1,1,2020010413,837.004391,,,,
Zone1,1,2020010414,824.9706454,,,,
Zone1,1,2020010415,813.5932077,,,,
Zone1,1,2020010416,804.5973037,,,,
Zone1,1,2020010417,806.1646365,,,,
Zone1,1,2020010418,812.6208061,,,,
Zone1,1,2020010419,816.269249,,,,
Zone1,1,2020010420,817.9393749,,,,
Zone1,1,2020010421,812.8586015,,,,
Zone1,1,2020010422,794.1816064,,,,
Zone1,1,2020010423,770.4764354,,,,
Zone1,1,2020010424,751.2427694,,,,
Zone1,1,2020010501,766.1876055,,,,
Zone1,1,2020010502,749.4394222,,,,
Zone1,1,2020010503,743.7164376,,,,
Zone1,1,2020010504,752.2233408,,,,
Zone1,1,2020010505,763.1718773,,,,
Zone1,1,2020010506,781.5025027,,,,
Zone1,1,2020010507,806.0962182,,,,
Zone1,1,2020010508,830.2899066,,,,
Zone1,1,2020010509,848.2762621,,,,
Zone1,1,2020010510,861.2335949,,,,
Zone1,1,2020010511,860.5612674,,,,
Zone1,1,2020010512,850.720504,,,,
Zone1,1,2020010513,837.004391,,,,
Zone1,1,2020010514,824.9706454,,,,
Zone1,1,2020010515,813.5932077,,,,
Zone1,1,2020010516,804.5973037,,,,
Zone1,1,2020010517,806.1646365,,,,
Zone1,1,2020010518,812.6208061,,,,
Zone1,1,2020010519,816.269249,,,,
Zone1,1,2020010520,817.9393749,,,,
Zone1,1,2020010521,812.8586015,,,,
Zone1,1,2020010522,794.1816064,,,,
Zone1,1,2020010523,770.4764354,,,,
Zone1,1,2020010524,751.2427694,,,,
Zone1,1,2020010601,766.1876055,,,,
Zone1,1,2020010602,749.4394222,,,,
Zone1,1,2020010603,743.7164376,,,,
Zone1,1,2020010604,752.2233408,,,,
Zone1,1,2020010605,763.1718773,,,,
Zone1,1,2020010606,781.5025027,,,,
Zone1,1,2020010607,806.0962182,,,,
Zone1,1,2020010608,830.2899066,,,,
Zone1,1,2020010609,848.2762621,,,,
Zone1,1,2020010610,861.2335949,,,,
Zone1,1,2020010611,860.5612674,,,,
