subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,timestamp,horizon_day
1,1,2020010101,2020,1,1,,,1,1,1/1/20 0:00,20200101
1,1,2020010102,2020,1,1,,,1,2,1/1/20 1:00,20200101
1,1,2020010103,2020,1,1,,,1,3,1/1/20 2:00,20200101
1,1,2020010104,2020,1,1,,,1,4,1/1/20 3:00,20200101
1,1,2020010105,2020,1,1,,,1,5,1/1/20 4:00,20200101
1,1,2020010106,2020,1,1,,,1,6,1/1/20 5:00,20200101
1,1,2020010107,2020,1,1,,,1,7,1/1/20 6:00,20200101
1,1,2020010108,2020,1,1,,,1,8,1/1/20 7:00,20200101
1,1,2020010109,2020,1,1,,,1,9,1/1/20 8:00,20200101
1,1,2020010110,2020,1,1,,,1,10,1/1/20 9:00,20200101
1,1,2020010111,2020,1,1,,,1,11,1/1/20 10:00,20200101
1,1,2020010112,2020,1,1,,,1,12,1/1/20 11:00,20200101
1,1,2020010113,2020,1,1,,,1,13,1/1/20 12:00,20200101
1,1,2020010114,2020,1,1,,,1,14,1/1/20 13:00,20200101
1,1,2020010115,2020,1,1,,,1,15,1/1/20 14:00,20200101
1,1,2020010116,2020,1,1,,,1,16,1/1/20 15:00,20200101
1,1,2020010117,2020,1,1,,,1,17,1/1/20 16:00,20200101
1,1,2020010118,2020,1,1,,,1,18,1/1/20 17:00,20200101
1,1,2020010119,2020,1,1,,,1,19,1/1/20 18:00,20200101
1,1,2020010120,2020,1,1,,,1,20,1/1/20 19:00,20200101
1,1,2020010121,2020,1,1,,,1,21,1/1/20 20:00,20200101
1,1,2020010122,2020,1,1,,,1,22,1/1/20 21:00,20200101
1,1,2020010123,2020,1,1,,,1,23,1/1/20 22:00,20200101
1,1,2020010124,2020,1,1,,,1,24,1/1/20 23:00,20200101
